timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17058',-67,108,5
'2023-08-26 12:23:17058',-60,108,2
'2023-08-26 12:23:17059',-74,107,2
'2023-08-26 12:23:17059',-86,108,5
'2023-08-26 12:23:17151',-60,108,2
'2023-08-26 12:23:17151',-74,107,2
'2023-08-26 12:23:17151',-86,108,5
'2023-08-26 12:23:17151',-67,108,5
'2023-08-26 12:23:17244',-67,108,5
'2023-08-26 12:23:17245',-60,108,2
'2023-08-26 12:23:17245',-75,107,2
'2023-08-26 12:23:17245',-86,108,5
'2023-08-26 12:23:17338',-86,108,5
'2023-08-26 12:23:17338',-67,108,5
'2023-08-26 12:23:17339',-60,108,2
'2023-08-26 12:23:17339',-74,107,2
'2023-08-26 12:23:17432',-86,108,5
'2023-08-26 12:23:17432',-67,108,5
'2023-08-26 12:23:17433',-60,108,2
'2023-08-26 12:23:17433',-74,107,2
'2023-08-26 12:23:17526',-74,107,2
'2023-08-26 12:23:17526',-86,108,5
'2023-08-26 12:23:17526',-67,108,5
'2023-08-26 12:23:17527',-60,108,2
'2023-08-26 12:23:17619',-60,108,2
'2023-08-26 12:23:17620',-75,107,2
'2023-08-26 12:23:17620',-86,108,5
'2023-08-26 12:23:17620',-66,108,5
'2023-08-26 12:23:17713',-67,108,5
'2023-08-26 12:23:17714',-60,108,2
'2023-08-26 12:23:17714',-74,107,2
'2023-08-26 12:23:17714',-86,108,5
'2023-08-26 12:23:17807',-86,108,5
'2023-08-26 12:23:17807',-67,108,5
'2023-08-26 12:23:17807',-60,108,2
'2023-08-26 12:23:17808',-74,107,2
'2023-08-26 12:23:17901',-74,107,2
'2023-08-26 12:23:17901',-86,108,5
'2023-08-26 12:23:17901',-67,108,5
'2023-08-26 12:23:17901',-60,108,2
'2023-08-26 12:23:17994',-86,108,5
'2023-08-26 12:23:17995',-75,107,2
'2023-08-26 12:23:17995',-66,108,5
'2023-08-26 12:23:17995',-60,108,2
'2023-08-26 12:23:18088',-60,108,2
'2023-08-26 12:23:18088',-74,107,2
'2023-08-26 12:23:18089',-86,108,5
'2023-08-26 12:23:18089',-67,108,5
'2023-08-26 12:23:18182',-67,108,5
'2023-08-26 12:23:18182',-60,108,2
'2023-08-26 12:23:18182',-74,107,2
'2023-08-26 12:23:18183',-86,108,5
'2023-08-26 12:23:18276',-67,108,5
'2023-08-26 12:23:18276',-60,108,2
'2023-08-26 12:23:18277',-74,107,2
'2023-08-26 12:23:18277',-86,108,5
'2023-08-26 12:23:18369',-74,107,2
'2023-08-26 12:23:18369',-86,108,5
'2023-08-26 12:23:18370',-67,108,5
'2023-08-26 12:23:18370',-60,108,2
'2023-08-26 12:23:18463',-74,107,2
'2023-08-26 12:23:18463',-86,108,5
'2023-08-26 12:23:18464',-67,108,5
'2023-08-26 12:23:18464',-60,108,2
'2023-08-26 12:23:18557',-66,108,5
'2023-08-26 12:23:18557',-60,108,2
'2023-08-26 12:23:18557',-74,107,2
'2023-08-26 12:23:18557',-86,108,5
'2023-08-26 12:23:18651',-67,108,5
'2023-08-26 12:23:18651',-60,108,2
'2023-08-26 12:23:18651',-74,107,2
'2023-08-26 12:23:18651',-86,108,5
'2023-08-26 12:23:18744',-86,108,5
'2023-08-26 12:23:18745',-67,108,5
'2023-08-26 12:23:18745',-60,108,2
'2023-08-26 12:23:18746',-74,107,2
'2023-08-26 12:23:18838',-74,107,2
'2023-08-26 12:23:18838',-86,108,5
'2023-08-26 12:23:18839',-67,108,5
'2023-08-26 12:23:18839',-60,108,2
'2023-08-26 12:23:18934',-60,108,2
'2023-08-26 12:23:18934',-74,107,2
'2023-08-26 12:23:18934',-86,108,5
'2023-08-26 12:23:18935',-67,108,5
'2023-08-26 12:23:19026',-60,108,2
'2023-08-26 12:23:19026',-74,107,2
'2023-08-26 12:23:19026',-86,108,5
'2023-08-26 12:23:19027',-67,108,5
'2023-08-26 12:23:19120',-67,108,5
'2023-08-26 12:23:19120',-60,108,2
'2023-08-26 12:23:19120',-74,107,2
'2023-08-26 12:23:19120',-86,108,5
'2023-08-26 12:23:19214',-67,108,5
'2023-08-26 12:23:19214',-60,108,2
'2023-08-26 12:23:19214',-74,107,2
'2023-08-26 12:23:19215',-86,108,5
'2023-08-26 12:23:19307',-74,107,2
'2023-08-26 12:23:19307',-86,108,5
'2023-08-26 12:23:19308',-67,108,5
'2023-08-26 12:23:19308',-60,108,2
'2023-08-26 12:23:19400',-60,108,2
'2023-08-26 12:23:19401',-74,107,2
'2023-08-26 12:23:19401',-86,108,5
'2023-08-26 12:23:19402',-67,108,5
'2023-08-26 12:23:19494',-67,108,5
'2023-08-26 12:23:19495',-60,108,2
'2023-08-26 12:23:19495',-75,107,2
'2023-08-26 12:23:19495',-86,108,5
'2023-08-26 12:23:19588',-67,108,5
'2023-08-26 12:23:19589',-60,108,2
'2023-08-26 12:23:19589',-86,108,5
'2023-08-26 12:23:19589',-74,107,2
'2023-08-26 12:23:19683',-67,108,5
'2023-08-26 12:23:19683',-60,108,2
'2023-08-26 12:23:19683',-74,107,2
'2023-08-26 12:23:19683',-86,108,5
'2023-08-26 12:23:19776',-86,108,5
'2023-08-26 12:23:19776',-74,107,2
'2023-08-26 12:23:19776',-67,108,5
'2023-08-26 12:23:19777',-60,108,2
'2023-08-26 12:23:19869',-60,108,2
'2023-08-26 12:23:19870',-74,107,2
'2023-08-26 12:23:19870',-86,108,5
'2023-08-26 12:23:19871',-67,108,5
'2023-08-26 12:23:19963',-67,108,5
'2023-08-26 12:23:19963',-60,108,2
'2023-08-26 12:23:19964',-86,108,5
'2023-08-26 12:23:19964',-74,107,2
'2023-08-26 12:23:20057',-67,108,5
'2023-08-26 12:23:20057',-60,108,2
'2023-08-26 12:23:20058',-86,108,5
'2023-08-26 12:23:20058',-74,107,2
'2023-08-26 12:23:20150',-86,108,5
'2023-08-26 12:23:20151',-74,107,2
'2023-08-26 12:23:20152',-66,108,5
'2023-08-26 12:23:20152',-60,108,2
'2023-08-26 12:23:20244',-86,108,5
'2023-08-26 12:23:20245',-74,107,2
'2023-08-26 12:23:20245',-67,108,5
'2023-08-26 12:23:20246',-60,108,2
'2023-08-26 12:23:20339',-60,108,2
'2023-08-26 12:23:20339',-86,108,5
'2023-08-26 12:23:20339',-74,107,2
'2023-08-26 12:23:20340',-67,108,5
'2023-08-26 12:23:20432',-67,108,5
'2023-08-26 12:23:20432',-60,108,2
'2023-08-26 12:23:20433',-86,108,5
'2023-08-26 12:23:20433',-74,107,2
'2023-08-26 12:23:20526',-66,108,5
'2023-08-26 12:23:20526',-60,108,2
'2023-08-26 12:23:20527',-86,108,5
'2023-08-26 12:23:20527',-74,107,2
'2023-08-26 12:23:20619',-75,107,2
'2023-08-26 12:23:20619',-86,108,5
'2023-08-26 12:23:20620',-67,108,5
'2023-08-26 12:23:20620',-60,108,2
'2023-08-26 12:23:20713',-74,107,2
'2023-08-26 12:23:20713',-86,108,5
'2023-08-26 12:23:20714',-67,108,5
'2023-08-26 12:23:20714',-60,108,2
'2023-08-26 12:23:20807',-67,108,5
'2023-08-26 12:23:20807',-60,108,2
'2023-08-26 12:23:20807',-74,107,2
'2023-08-26 12:23:20807',-86,108,5
'2023-08-26 12:23:20901',-67,108,5
'2023-08-26 12:23:20901',-60,108,2
'2023-08-26 12:23:20902',-74,107,2
'2023-08-26 12:23:20902',-86,108,5
'2023-08-26 12:23:20994',-86,108,5
'2023-08-26 12:23:20995',-67,108,5
'2023-08-26 12:23:20995',-60,108,2
'2023-08-26 12:23:20996',-74,107,2
'2023-08-26 12:23:21088',-75,107,2
'2023-08-26 12:23:21088',-86,108,5
'2023-08-26 12:23:21089',-67,108,5
'2023-08-26 12:23:21089',-60,108,2
'2023-08-26 12:23:21182',-60,108,2
'2023-08-26 12:23:21182',-74,107,2
'2023-08-26 12:23:21182',-86,108,5
'2023-08-26 12:23:21183',-67,108,5
'2023-08-26 12:23:21275',-67,108,5
'2023-08-26 12:23:21276',-60,108,2
'2023-08-26 12:23:21276',-74,107,2
'2023-08-26 12:23:21276',-86,108,5
'2023-08-26 12:23:21369',-67,108,5
'2023-08-26 12:23:21370',-60,108,2
'2023-08-26 12:23:21370',-74,107,2
'2023-08-26 12:23:21370',-86,108,5
'2023-08-26 12:23:21463',-86,108,5
'2023-08-26 12:23:21463',-67,108,5
'2023-08-26 12:23:21464',-60,108,2
'2023-08-26 12:23:21464',-74,107,2
'2023-08-26 12:23:21557',-74,107,2
'2023-08-26 12:23:21557',-67,108,5
'2023-08-26 12:23:21558',-60,108,2
'2023-08-26 12:23:21651',-60,108,2
'2023-08-26 12:23:21651',-86,108,5
'2023-08-26 12:23:21651',-74,107,2
'2023-08-26 12:23:21651',-67,108,5
'2023-08-26 12:23:21744',-67,108,5
'2023-08-26 12:23:21745',-60,108,2
'2023-08-26 12:23:21745',-86,108,5
'2023-08-26 12:23:21745',-74,107,2
'2023-08-26 12:23:21839',-67,108,5
'2023-08-26 12:23:21839',-60,108,2
'2023-08-26 12:23:21839',-86,108,5
'2023-08-26 12:23:21839',-74,107,2
'2023-08-26 12:23:21933',-67,108,5
'2023-08-26 12:23:21933',-60,108,2
'2023-08-26 12:23:21933',-86,108,5
'2023-08-26 12:23:21933',-74,107,2
'2023-08-26 12:23:22026',-75,107,2
'2023-08-26 12:23:22026',-86,108,5
'2023-08-26 12:23:22027',-67,108,5
'2023-08-26 12:23:22027',-60,108,2
'2023-08-26 12:23:22119',-60,108,2
'2023-08-26 12:23:22119',-86,108,5
'2023-08-26 12:23:22120',-74,107,2
'2023-08-26 12:23:22120',-67,108,5
'2023-08-26 12:23:22213',-67,108,5
'2023-08-26 12:23:22214',-60,108,2
'2023-08-26 12:23:22214',-86,108,5
'2023-08-26 12:23:22214',-74,107,2
'2023-08-26 12:23:22307',-67,108,5
'2023-08-26 12:23:22308',-60,108,2
'2023-08-26 12:23:22308',-86,108,5
'2023-08-26 12:23:22308',-75,107,2
'2023-08-26 12:23:22401',-74,107,2
'2023-08-26 12:23:22401',-66,108,5
'2023-08-26 12:23:22402',-60,108,2
'2023-08-26 12:23:22402',-86,108,5
'2023-08-26 12:23:22494',-86,108,5
'2023-08-26 12:23:22495',-74,107,2
'2023-08-26 12:23:22495',-67,108,5
'2023-08-26 12:23:22496',-60,108,2
'2023-08-26 12:23:22588',-60,108,2
'2023-08-26 12:23:22589',-86,108,5
'2023-08-26 12:23:22589',-75,107,2
'2023-08-26 12:23:22590',-67,108,5
'2023-08-26 12:23:22682',-67,108,5
'2023-08-26 12:23:22682',-60,108,2
'2023-08-26 12:23:22683',-86,108,5
'2023-08-26 12:23:22683',-74,107,2
'2023-08-26 12:23:22776',-66,108,5
'2023-08-26 12:23:22776',-60,108,2
'2023-08-26 12:23:22777',-86,108,5
'2023-08-26 12:23:22777',-74,107,2
'2023-08-26 12:23:22869',-86,108,5
'2023-08-26 12:23:22869',-74,107,2
'2023-08-26 12:23:22870',-67,108,5
'2023-08-26 12:23:22870',-60,108,2
'2023-08-26 12:23:22963',-86,108,5
'2023-08-26 12:23:22963',-75,107,2
'2023-08-26 12:23:22964',-66,108,5
'2023-08-26 12:23:22964',-60,108,2
'2023-08-26 12:23:23057',-67,108,5
'2023-08-26 12:23:23057',-60,108,2
'2023-08-26 12:23:23057',-86,108,5
'2023-08-26 12:23:23057',-74,107,2
'2023-08-26 12:23:23151',-66,108,5
'2023-08-26 12:23:23151',-60,108,2
'2023-08-26 12:23:23151',-86,108,5
'2023-08-26 12:23:23152',-74,107,2
'2023-08-26 12:23:23245',-67,108,5
'2023-08-26 12:23:23245',-60,108,2
'2023-08-26 12:23:23245',-86,108,5
'2023-08-26 12:23:23246',-75,107,2
'2023-08-26 12:23:23338',-86,108,5
'2023-08-26 12:23:23338',-75,107,2
'2023-08-26 12:23:23339',-67,108,5
'2023-08-26 12:23:23339',-60,108,2
'2023-08-26 12:23:23432',-60,108,2
'2023-08-26 12:23:23432',-86,108,5
'2023-08-26 12:23:23432',-74,107,2
'2023-08-26 12:23:23433',-66,108,5
'2023-08-26 12:23:23525',-67,108,5
'2023-08-26 12:23:23526',-60,108,2
'2023-08-26 12:23:23526',-86,108,5
'2023-08-26 12:23:23526',-74,107,2
'2023-08-26 12:23:23620',-67,108,5
'2023-08-26 12:23:23620',-60,108,2
'2023-08-26 12:23:23620',-86,108,5
'2023-08-26 12:23:23620',-75,107,2
'2023-08-26 12:23:23714',-67,108,5
'2023-08-26 12:23:23714',-60,108,2
'2023-08-26 12:23:23714',-86,108,5
'2023-08-26 12:23:23714',-74,107,2
'2023-08-26 12:23:23807',-86,108,5
'2023-08-26 12:23:23807',-74,107,2
'2023-08-26 12:23:23808',-67,108,5
'2023-08-26 12:23:23808',-60,108,2
'2023-08-26 12:23:23901',-60,108,2
'2023-08-26 12:23:23901',-86,108,5
'2023-08-26 12:23:23901',-74,107,2
'2023-08-26 12:23:23902',-66,108,5
'2023-08-26 12:23:23995',-66,108,5
'2023-08-26 12:23:23995',-60,108,2
'2023-08-26 12:23:23995',-86,108,5
'2023-08-26 12:23:23995',-74,107,2
'2023-08-26 12:23:24088',-67,108,5
'2023-08-26 12:23:24089',-60,108,2
'2023-08-26 12:23:24089',-86,108,5
'2023-08-26 12:23:24089',-74,107,2
'2023-08-26 12:23:24183',-67,108,5
'2023-08-26 12:23:24183',-60,108,2
'2023-08-26 12:23:24183',-86,108,5
'2023-08-26 12:23:24183',-74,107,2
'2023-08-26 12:23:24275',-86,108,5
'2023-08-26 12:23:24276',-74,107,2
'2023-08-26 12:23:24276',-67,108,5
'2023-08-26 12:23:24277',-60,108,2
'2023-08-26 12:23:24369',-60,108,2
'2023-08-26 12:23:24369',-86,108,5
'2023-08-26 12:23:24370',-74,107,2
'2023-08-26 12:23:24370',-67,108,5
'2023-08-26 12:23:24463',-67,108,5
'2023-08-26 12:23:24463',-60,108,2
'2023-08-26 12:23:24464',-86,108,5
'2023-08-26 12:23:24464',-74,107,2
'2023-08-26 12:23:24557',-67,108,5
'2023-08-26 12:23:24557',-60,108,2
'2023-08-26 12:23:24558',-86,108,5
'2023-08-26 12:23:24558',-74,107,2
'2023-08-26 12:23:24650',-74,107,2
'2023-08-26 12:23:24651',-66,108,5
'2023-08-26 12:23:24651',-60,108,2
'2023-08-26 12:23:24652',-86,108,5
'2023-08-26 12:23:24744',-86,108,5
'2023-08-26 12:23:24744',-74,107,2
'2023-08-26 12:23:24745',-67,108,5
'2023-08-26 12:23:24745',-60,108,2
'2023-08-26 12:23:24838',-60,108,2
'2023-08-26 12:23:24838',-86,108,5
'2023-08-26 12:23:24839',-74,107,2
'2023-08-26 12:23:24839',-67,108,5
'2023-08-26 12:23:24932',-67,108,5
'2023-08-26 12:23:24933',-60,108,2
'2023-08-26 12:23:24933',-86,108,5
'2023-08-26 12:23:24933',-74,107,2
'2023-08-26 12:23:25027',-67,108,5
'2023-08-26 12:23:25027',-60,108,2
'2023-08-26 12:23:25027',-86,108,5
'2023-08-26 12:23:25027',-74,107,2
'2023-08-26 12:23:25120',-74,107,2
'2023-08-26 12:23:25120',-86,108,5
'2023-08-26 12:23:25120',-66,108,5
'2023-08-26 12:23:25121',-60,108,2
'2023-08-26 12:23:25213',-86,108,5
