timestamp,rssi,lqi,device_id
'2023-08-26 12:26:47799',-96,98,2
'2023-08-26 12:26:47801',-93,106,2
'2023-08-26 12:26:47894',-97,98,2
'2023-08-26 12:26:47895',-93,106,2
'2023-08-26 12:26:47988',-96,98,2
'2023-08-26 12:26:47988',-93,106,2
'2023-08-26 12:26:48082',-96,98,2
'2023-08-26 12:26:48082',-93,106,2
'2023-08-26 12:26:48176',-96,98,2
'2023-08-26 12:26:48176',-93,106,2
'2023-08-26 12:26:48269',-96,98,2
'2023-08-26 12:26:48269',-93,106,2
'2023-08-26 12:26:48363',-93,106,2
'2023-08-26 12:26:48363',-96,98,2
'2023-08-26 12:26:48457',-93,106,2
'2023-08-26 12:26:48457',-96,98,2
'2023-08-26 12:26:48551',-92,106,2
'2023-08-26 12:26:48551',-96,98,2
'2023-08-26 12:26:48644',-96,98,2
'2023-08-26 12:26:48645',-93,106,2
'2023-08-26 12:26:48738',-97,98,2
'2023-08-26 12:26:48739',-93,106,2
'2023-08-26 12:26:48832',-93,106,2
'2023-08-26 12:26:48832',-96,98,2
'2023-08-26 12:26:48926',-93,106,2
'2023-08-26 12:26:48926',-96,98,2
'2023-08-26 12:26:49020',-93,106,2
'2023-08-26 12:26:49020',-96,98,2
'2023-08-26 12:26:49113',-97,98,2
'2023-08-26 12:26:49114',-93,106,2
'2023-08-26 12:26:49208',-93,106,2
'2023-08-26 12:26:49301',-93,106,2
'2023-08-26 12:26:49301',-97,98,2
'2023-08-26 12:26:49394',-93,106,2
'2023-08-26 12:26:49395',-97,98,2
'2023-08-26 12:26:49489',-93,106,2
'2023-08-26 12:26:49489',-96,98,2
'2023-08-26 12:26:49582',-97,98,2
'2023-08-26 12:26:49583',-93,106,2
'2023-08-26 12:26:49675',-97,98,2
'2023-08-26 12:26:49677',-93,106,2
'2023-08-26 12:26:49769',-93,106,2
'2023-08-26 12:26:49770',-97,98,2
'2023-08-26 12:26:49863',-93,106,2
'2023-08-26 12:26:49864',-96,98,2
'2023-08-26 12:26:49958',-96,98,2
'2023-08-26 12:26:49958',-93,106,2
'2023-08-26 12:26:50050',-96,98,2
'2023-08-26 12:26:50051',-93,106,2
'2023-08-26 12:26:50144',-93,106,2
'2023-08-26 12:26:50144',-96,98,2
'2023-08-26 12:26:50238',-96,98,2
'2023-08-26 12:26:50238',-93,106,2
'2023-08-26 12:26:50333',-96,98,2
'2023-08-26 12:26:50333',-92,106,2
'2023-08-26 12:26:50426',-96,98,2
'2023-08-26 12:26:50426',-93,106,2
'2023-08-26 12:26:50519',-97,98,2
'2023-08-26 12:26:50519',-93,106,2
'2023-08-26 12:26:50613',-96,98,2
'2023-08-26 12:26:50613',-93,106,2
'2023-08-26 12:26:50707',-96,98,2
'2023-08-26 12:26:50707',-93,106,2
'2023-08-26 12:26:50802',-96,98,2
'2023-08-26 12:26:50802',-93,106,2
'2023-08-26 12:26:50895',-93,106,2
'2023-08-26 12:26:50895',-96,98,2
'2023-08-26 12:26:50988',-96,98,2
'2023-08-26 12:26:50989',-93,106,2
'2023-08-26 12:26:51083',-96,98,2
'2023-08-26 12:26:51083',-93,106,2
'2023-08-26 12:26:51176',-96,98,2
'2023-08-26 12:26:51177',-93,106,2
'2023-08-26 12:26:51363',-93,104,2
'2023-08-26 12:26:51364',-96,94,2
'2023-08-26 12:26:51457',-96,94,2
'2023-08-26 12:26:51457',-93,104,2
'2023-08-26 12:26:51551',-96,94,2
'2023-08-26 12:26:51551',-93,104,2
'2023-08-26 12:26:51645',-97,94,2
'2023-08-26 12:26:51645',-93,104,2
'2023-08-26 12:26:51739',-96,94,2
'2023-08-26 12:26:51739',-93,104,2
'2023-08-26 12:26:51832',-96,94,2
'2023-08-26 12:26:51832',-93,104,2
'2023-08-26 12:26:51926',-97,94,2
'2023-08-26 12:26:51926',-93,104,2
'2023-08-26 12:26:52020',-96,94,2
'2023-08-26 12:26:52020',-93,104,2
'2023-08-26 12:26:52113',-96,94,2
'2023-08-26 12:26:52114',-93,104,2
'2023-08-26 12:26:52207',-97,94,2
'2023-08-26 12:26:52208',-93,104,2
'2023-08-26 12:26:52300',-96,94,2
'2023-08-26 12:26:52301',-93,104,2
'2023-08-26 12:26:52488',-97,94,2
'2023-08-26 12:26:52488',-93,104,2
'2023-08-26 12:26:52582',-97,94,2
'2023-08-26 12:26:52582',-93,104,2
'2023-08-26 12:26:52676',-96,94,2
'2023-08-26 12:26:52676',-93,104,2
'2023-08-26 12:26:52769',-92,104,2
'2023-08-26 12:26:52863',-93,104,2
'2023-08-26 12:26:52864',-96,94,2
'2023-08-26 12:26:52957',-96,94,2
'2023-08-26 12:26:52957',-93,104,2
'2023-08-26 12:26:53051',-96,94,2
'2023-08-26 12:26:53052',-92,104,2
'2023-08-26 12:26:53144',-93,104,2
'2023-08-26 12:26:53145',-96,94,2
'2023-08-26 12:26:53238',-93,104,2
'2023-08-26 12:26:53239',-96,94,2
'2023-08-26 12:26:53332',-96,94,2
'2023-08-26 12:26:53332',-93,104,2
'2023-08-26 12:26:53426',-96,94,2
'2023-08-26 12:26:53426',-93,104,2
'2023-08-26 12:26:53521',-93,104,2
'2023-08-26 12:26:53521',-96,94,2
'2023-08-26 12:26:53614',-93,104,2
'2023-08-26 12:26:53614',-96,94,2
'2023-08-26 12:26:53707',-93,104,2
'2023-08-26 12:26:53708',-96,94,2
'2023-08-26 12:26:53800',-96,94,2
'2023-08-26 12:26:53802',-93,104,2
'2023-08-26 12:26:53894',-93,104,2
'2023-08-26 12:26:53894',-96,94,2
'2023-08-26 12:26:53989',-93,104,2
'2023-08-26 12:26:53989',-96,94,2
'2023-08-26 12:26:54082',-97,94,2
'2023-08-26 12:26:54083',-93,104,2
'2023-08-26 12:26:54176',-96,94,2
'2023-08-26 12:26:54177',-93,104,2
'2023-08-26 12:26:54269',-97,94,2
'2023-08-26 12:26:54269',-93,104,2
'2023-08-26 12:26:54363',-96,94,2
'2023-08-26 12:26:54363',-93,104,2
'2023-08-26 12:26:54457',-96,94,2
'2023-08-26 12:26:54458',-93,104,2
'2023-08-26 12:26:54551',-93,104,2
'2023-08-26 12:26:54644',-93,104,2
'2023-08-26 12:26:54645',-97,94,2
'2023-08-26 12:26:54738',-93,104,2
'2023-08-26 12:26:54739',-96,94,2
'2023-08-26 12:26:54832',-97,94,2
'2023-08-26 12:26:54833',-93,104,2
'2023-08-26 12:26:54926',-97,94,2
'2023-08-26 12:26:54926',-93,104,2
'2023-08-26 12:26:55020',-96,94,2
'2023-08-26 12:26:55020',-93,104,2
