timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17059',-98,83,2
'2023-08-26 12:23:17059',-92,106,2
'2023-08-26 12:23:17151',-98,83,2
'2023-08-26 12:23:17151',-92,106,2
'2023-08-26 12:23:17245',-99,83,2
'2023-08-26 12:23:17245',-92,106,2
'2023-08-26 12:23:17339',-98,83,2
'2023-08-26 12:23:17339',-92,106,2
'2023-08-26 12:23:17432',-98,83,2
'2023-08-26 12:23:17432',-92,106,2
'2023-08-26 12:23:17525',-98,83,2
'2023-08-26 12:23:17526',-92,106,2
'2023-08-26 12:23:17620',-98,83,2
'2023-08-26 12:23:17620',-92,106,2
'2023-08-26 12:23:17714',-98,83,2
'2023-08-26 12:23:17714',-92,106,2
'2023-08-26 12:23:17808',-98,83,2
'2023-08-26 12:23:17808',-93,106,2
'2023-08-26 12:23:17900',-98,83,2
'2023-08-26 12:23:17900',-92,106,2
'2023-08-26 12:23:17994',-92,106,2
'2023-08-26 12:23:18088',-98,83,2
'2023-08-26 12:23:18088',-92,106,2
'2023-08-26 12:23:18182',-98,83,2
'2023-08-26 12:23:18182',-93,106,2
'2023-08-26 12:23:18276',-99,83,2
'2023-08-26 12:23:18277',-92,106,2
'2023-08-26 12:23:18369',-92,106,2
'2023-08-26 12:23:18371',-98,83,2
'2023-08-26 12:23:18463',-98,83,2
'2023-08-26 12:23:18463',-92,106,2
'2023-08-26 12:23:18557',-99,83,2
'2023-08-26 12:23:18557',-92,106,2
'2023-08-26 12:23:18745',-98,83,2
'2023-08-26 12:23:18745',-92,106,2
'2023-08-26 12:23:18935',-98,78,2
'2023-08-26 12:23:18935',-92,106,2
'2023-08-26 12:23:19025',-98,78,2
'2023-08-26 12:23:19026',-92,106,2
'2023-08-26 12:23:19119',-98,78,2
'2023-08-26 12:23:19120',-92,106,2
'2023-08-26 12:23:19214',-98,78,2
'2023-08-26 12:23:19214',-92,106,2
'2023-08-26 12:23:19307',-98,78,2
'2023-08-26 12:23:19308',-92,106,2
'2023-08-26 12:23:19402',-92,106,2
'2023-08-26 12:23:19402',-98,78,2
'2023-08-26 12:23:19494',-98,78,2
'2023-08-26 12:23:19494',-92,106,2
'2023-08-26 12:23:19589',-92,106,2
'2023-08-26 12:23:19682',-98,78,2
'2023-08-26 12:23:19682',-92,106,2
'2023-08-26 12:23:19776',-98,78,2
'2023-08-26 12:23:19776',-92,106,2
'2023-08-26 12:23:19870',-98,78,2
'2023-08-26 12:23:19870',-93,106,2
'2023-08-26 12:23:19963',-93,106,2
'2023-08-26 12:23:19964',-98,78,2
'2023-08-26 12:23:20057',-99,78,2
'2023-08-26 12:23:20057',-92,106,2
'2023-08-26 12:23:20151',-98,78,2
'2023-08-26 12:23:20152',-92,106,2
'2023-08-26 12:23:20245',-98,78,2
'2023-08-26 12:23:20246',-92,106,2
'2023-08-26 12:23:20338',-92,106,2
'2023-08-26 12:23:20339',-98,78,2
'2023-08-26 12:23:20432',-92,106,2
'2023-08-26 12:23:20433',-98,78,2
'2023-08-26 12:23:20526',-98,78,2
'2023-08-26 12:23:20526',-92,106,2
'2023-08-26 12:23:20620',-99,78,2
'2023-08-26 12:23:20620',-92,106,2
'2023-08-26 12:23:20713',-98,78,2
'2023-08-26 12:23:20714',-92,106,2
'2023-08-26 12:23:20807',-98,78,2
'2023-08-26 12:23:20808',-92,106,2
'2023-08-26 12:23:20901',-92,106,2
'2023-08-26 12:23:20902',-98,78,2
'2023-08-26 12:23:20994',-98,78,2
'2023-08-26 12:23:20995',-92,106,2
'2023-08-26 12:23:21089',-98,78,2
'2023-08-26 12:23:21089',-92,106,2
'2023-08-26 12:23:21182',-98,78,2
'2023-08-26 12:23:21183',-92,106,2
'2023-08-26 12:23:21276',-98,78,2
'2023-08-26 12:23:21277',-92,106,2
'2023-08-26 12:23:21369',-98,78,2
'2023-08-26 12:23:21369',-92,106,2
'2023-08-26 12:23:21464',-92,106,2
'2023-08-26 12:23:21464',-98,78,2
'2023-08-26 12:23:21557',-98,78,2
'2023-08-26 12:23:21558',-92,106,2
'2023-08-26 12:23:21651',-98,78,2
'2023-08-26 12:23:21652',-92,106,2
'2023-08-26 12:23:21744',-99,78,2
'2023-08-26 12:23:21744',-92,106,2
'2023-08-26 12:23:21838',-92,106,2
'2023-08-26 12:23:21839',-98,78,2
'2023-08-26 12:23:21933',-92,106,2
'2023-08-26 12:23:21933',-98,78,2
'2023-08-26 12:23:22026',-92,106,2
'2023-08-26 12:23:22027',-99,78,2
'2023-08-26 12:23:22119',-97,78,2
'2023-08-26 12:23:22120',-92,106,2
'2023-08-26 12:23:22213',-92,106,2
'2023-08-26 12:23:22213',-99,78,2
'2023-08-26 12:23:22307',-92,106,2
'2023-08-26 12:23:22308',-98,78,2
'2023-08-26 12:23:22401',-92,106,2
'2023-08-26 12:23:22402',-98,78,2
'2023-08-26 12:23:22494',-98,78,2
'2023-08-26 12:23:22495',-92,106,2
'2023-08-26 12:23:22588',-98,78,2
'2023-08-26 12:23:22589',-92,106,2
'2023-08-26 12:23:22682',-92,106,2
'2023-08-26 12:23:22683',-98,78,2
'2023-08-26 12:23:22776',-92,106,2
'2023-08-26 12:23:22777',-98,78,2
'2023-08-26 12:23:22869',-98,78,2
'2023-08-26 12:23:22870',-92,106,2
'2023-08-26 12:23:22963',-98,78,2
'2023-08-26 12:23:22964',-92,106,2
'2023-08-26 12:23:23057',-98,78,2
'2023-08-26 12:23:23058',-92,106,2
'2023-08-26 12:23:23151',-92,106,2
'2023-08-26 12:23:23152',-98,78,2
'2023-08-26 12:23:23244',-98,78,2
'2023-08-26 12:23:23245',-92,106,2
'2023-08-26 12:23:23338',-98,78,2
'2023-08-26 12:23:23339',-92,106,2
'2023-08-26 12:23:23433',-92,106,2
'2023-08-26 12:23:23526',-99,88,2
'2023-08-26 12:23:23527',-92,106,2
'2023-08-26 12:23:23620',-92,106,2
'2023-08-26 12:23:23621',-98,88,2
'2023-08-26 12:23:23713',-99,88,2
'2023-08-26 12:23:23714',-92,106,2
'2023-08-26 12:23:23807',-98,88,2
'2023-08-26 12:23:23807',-92,106,2
'2023-08-26 12:23:23901',-98,88,2
'2023-08-26 12:23:23901',-92,106,2
'2023-08-26 12:23:23994',-92,106,2
'2023-08-26 12:23:23995',-98,88,2
'2023-08-26 12:23:24088',-92,106,2
'2023-08-26 12:23:24089',-98,88,2
'2023-08-26 12:23:24182',-98,88,2
'2023-08-26 12:23:24182',-92,106,2
'2023-08-26 12:23:24276',-99,88,2
'2023-08-26 12:23:24276',-92,106,2
'2023-08-26 12:23:24370',-98,88,2
'2023-08-26 12:23:24370',-92,106,2
'2023-08-26 12:23:24463',-92,106,2
'2023-08-26 12:23:24464',-98,88,2
'2023-08-26 12:23:24557',-92,106,2
'2023-08-26 12:23:24558',-98,88,2
'2023-08-26 12:23:24651',-98,88,2
'2023-08-26 12:23:24651',-92,106,2
'2023-08-26 12:23:24745',-99,88,2
'2023-08-26 12:23:24745',-92,106,2
'2023-08-26 12:23:24838',-92,106,2
'2023-08-26 12:23:24838',-98,88,2
'2023-08-26 12:23:24932',-92,106,2
'2023-08-26 12:23:24933',-98,88,2
'2023-08-26 12:23:25026',-92,106,2
'2023-08-26 12:23:25027',-98,88,2
'2023-08-26 12:23:25119',-98,88,2
'2023-08-26 12:23:25120',-92,106,2
'2023-08-26 12:23:25214',-98,88,2
'2023-08-26 12:23:25214',-92,106,2
'2023-08-26 12:23:25308',-98,88,2
'2023-08-26 12:23:25308',-92,106,2
'2023-08-26 12:23:25401',-92,106,2
'2023-08-26 12:23:25402',-98,88,2
'2023-08-26 12:23:25494',-98,88,2
'2023-08-26 12:23:25495',-92,106,2
'2023-08-26 12:23:25588',-98,88,2
'2023-08-26 12:23:25589',-92,106,2
'2023-08-26 12:23:25683',-98,88,2
'2023-08-26 12:23:25683',-92,106,2
'2023-08-26 12:23:25777',-98,88,2
'2023-08-26 12:23:25777',-92,106,2
'2023-08-26 12:23:25869',-98,88,2
'2023-08-26 12:23:25870',-93,106,2
'2023-08-26 12:23:25963',-98,88,2
'2023-08-26 12:23:25964',-92,106,2
'2023-08-26 12:23:26058',-98,88,2
'2023-08-26 12:23:26058',-92,106,2
'2023-08-26 12:23:26152',-92,106,2
'2023-08-26 12:23:26152',-98,88,2
'2023-08-26 12:23:26244',-99,88,2
'2023-08-26 12:23:26244',-92,106,2
'2023-08-26 12:23:26339',-92,106,2
'2023-08-26 12:23:26340',-98,88,2
'2023-08-26 12:23:27608',-97,88,2
'2023-08-26 12:23:27698',-97,88,2
'2023-08-26 12:23:27791',-97,88,2
'2023-08-26 12:23:27978',-97,92,2
'2023-08-26 12:23:28073',-97,92,2
'2023-08-26 12:23:28166',-97,92,2
'2023-08-26 12:23:28259',-97,92,2
'2023-08-26 12:23:28353',-97,92,2
'2023-08-26 12:23:28447',-97,92,2
'2023-08-26 12:23:28541',-97,92,2
'2023-08-26 12:23:28635',-97,92,2
'2023-08-26 12:23:28728',-97,92,2
'2023-08-26 12:23:28823',-97,92,2
'2023-08-26 12:23:28916',-97,92,2
'2023-08-26 12:23:29023',-97,92,2
'2023-08-26 12:23:29103',-97,92,2
'2023-08-26 12:23:29197',-97,92,2
'2023-08-26 12:23:29291',-97,92,2
'2023-08-26 12:23:29385',-97,92,2
'2023-08-26 12:23:29479',-97,92,2
'2023-08-26 12:23:29572',-97,92,2
'2023-08-26 12:23:29666',-97,92,2
'2023-08-26 12:23:29760',-97,92,2
'2023-08-26 12:23:29854',-97,92,2
'2023-08-26 12:23:29948',-97,92,2
'2023-08-26 12:23:30040',-97,92,2
'2023-08-26 12:23:30135',-97,92,2
'2023-08-26 12:23:30229',-97,92,2
'2023-08-26 12:23:30323',-97,92,2
'2023-08-26 12:23:30417',-97,92,2
'2023-08-26 12:23:30510',-98,92,2
'2023-08-26 12:23:30604',-97,92,2
'2023-08-26 12:23:30698',-97,92,2
'2023-08-26 12:23:30791',-97,92,2
'2023-08-26 12:23:30885',-97,92,2
'2023-08-26 12:23:30979',-97,92,2
'2023-08-26 12:23:31073',-97,92,2
'2023-08-26 12:23:31166',-98,92,2
'2023-08-26 12:23:31259',-97,92,2
'2023-08-26 12:23:31353',-97,92,2
'2023-08-26 12:23:31448',-97,92,2
'2023-08-26 12:23:31542',-97,92,2
'2023-08-26 12:23:31634',-97,92,2
'2023-08-26 12:23:31728',-97,92,2
'2023-08-26 12:23:31822',-97,92,2
'2023-08-26 12:23:31917',-97,92,2
'2023-08-26 12:23:32020',-97,92,2
'2023-08-26 12:23:32105',-98,92,2
'2023-08-26 12:23:32197',-97,92,2
'2023-08-26 12:23:32291',-97,92,2
'2023-08-26 12:23:32384',-98,92,2
'2023-08-26 12:23:32478',-97,92,2
'2023-08-26 12:23:32572',-97,92,2
'2023-08-26 12:23:32666',-98,92,2
'2023-08-26 12:23:32759',-97,92,2
'2023-08-26 12:23:32853',-97,92,2
'2023-08-26 12:23:32854',-101,62,2
'2023-08-26 12:23:32948',-97,92,2
'2023-08-26 12:23:33042',-97,92,2
'2023-08-26 12:23:33134',-97,92,2
'2023-08-26 12:23:33229',-97,92,2
'2023-08-26 12:23:33323',-97,92,2
'2023-08-26 12:23:33417',-98,92,2
'2023-08-26 12:23:33509',-97,92,2
'2023-08-26 12:23:33603',-98,92,2
'2023-08-26 12:23:33698',-97,92,2
'2023-08-26 12:23:33792',-97,92,2
'2023-08-26 12:23:33884',-97,92,2
'2023-08-26 12:23:33979',-97,92,2
'2023-08-26 12:23:34073',-97,92,2
'2023-08-26 12:23:34167',-102,49,2
'2023-08-26 12:23:34167',-97,92,2
'2023-08-26 12:23:34259',-98,92,2
'2023-08-26 12:23:34353',-97,92,2
'2023-08-26 12:23:34447',-97,92,2
'2023-08-26 12:23:34542',-97,92,2
'2023-08-26 12:23:34634',-98,92,2
'2023-08-26 12:23:34728',-97,92,2
'2023-08-26 12:23:34822',-97,92,2
'2023-08-26 12:23:34916',-97,92,2
'2023-08-26 12:23:35020',-97,92,2
'2023-08-26 12:23:35105',-97,92,2
'2023-08-26 12:23:35198',-97,92,2
'2023-08-26 12:23:35292',-97,92,2
'2023-08-26 12:23:35384',-97,92,2
'2023-08-26 12:23:35479',-97,92,2
'2023-08-26 12:23:35573',-97,92,2
'2023-08-26 12:23:35667',-97,92,2
'2023-08-26 12:23:35759',-97,92,2
'2023-08-26 12:23:35853',-97,92,2
'2023-08-26 12:23:35948',-98,92,2
'2023-08-26 12:23:36042',-97,92,2
'2023-08-26 12:23:36134',-97,92,2
'2023-08-26 12:23:36229',-97,92,2
'2023-08-26 12:23:36229',-101,57,2
'2023-08-26 12:23:36323',-97,92,2
'2023-08-26 12:23:36417',-97,92,2
'2023-08-26 12:23:36509',-98,92,2
'2023-08-26 12:23:36603',-97,92,2
'2023-08-26 12:23:36697',-97,92,2
'2023-08-26 12:23:36792',-97,92,2
'2023-08-26 12:23:36886',-98,92,2
