timestamp,rssi,lqi,device_id
'2023-08-26 12:27:40,477',-102,50,101
'2023-08-26 12:27:42,446',-102,67,101
'2023-08-26 12:27:42,541',-102,67,101
'2023-08-26 12:27:42,728',-102,67,101
'2023-08-26 12:27:43,008',-102,67,101
'2023-08-26 12:27:44,227',-102,65,101
'2023-08-26 12:27:44,321',-102,65,101
'2023-08-26 12:27:45,353',-102,67,101
'2023-08-26 12:27:46,289',-102,59,101
'2023-08-26 12:28:01,450',-101,78,101
'2023-08-26 12:28:01,543',-100,78,101
'2023-08-26 12:28:01,638',-100,78,101
'2023-08-26 12:28:01,731',-100,78,101
'2023-08-26 12:28:01,824',-100,78,101
'2023-08-26 12:28:01,919',-101,78,101
'2023-08-26 12:28:02,013',-100,78,101
'2023-08-26 12:28:02,106',-101,78,101
'2023-08-26 12:28:02,200',-101,78,101
'2023-08-26 12:28:02,388',-101,82,101
'2023-08-26 12:28:02,481',-100,82,101
'2023-08-26 12:28:02,575',-101,82,101
'2023-08-26 12:28:02,669',-100,82,101
'2023-08-26 12:28:02,763',-100,82,101
'2023-08-26 12:28:02,857',-101,82,101
'2023-08-26 12:28:02,950',-101,82,101
'2023-08-26 12:28:03,045',-100,82,101
'2023-08-26 12:28:03,138',-100,82,101
'2023-08-26 12:28:03,232',-100,82,101
'2023-08-26 12:28:03,326',-100,82,101
'2023-08-26 12:28:03,419',-100,82,101
'2023-08-26 12:28:03,513',-100,82,101
'2023-08-26 12:28:03,607',-100,82,101
'2023-08-26 12:28:03,701',-101,82,101
'2023-08-26 12:28:03,794',-100,82,101
'2023-08-26 12:28:03,981',-100,90,101
'2023-08-26 12:28:04,075',-100,90,101
'2023-08-26 12:28:04,169',-101,90,101
'2023-08-26 12:28:04,263',-101,90,101
'2023-08-26 12:28:04,357',-100,90,101
'2023-08-26 12:28:04,450',-100,90,101
'2023-08-26 12:28:04,544',-101,90,101
'2023-08-26 12:28:04,638',-100,90,101
'2023-08-26 12:28:04,732',-100,90,101
'2023-08-26 12:28:04,825',-100,90,101
'2023-08-26 12:28:04,919',-100,90,101
'2023-08-26 12:28:05,012',-101,90,101
'2023-08-26 12:28:05,106',-101,90,101
'2023-08-26 12:28:05,201',-100,90,101
'2023-08-26 12:28:05,293',-100,90,101
'2023-08-26 12:28:05,387',-100,90,101
'2023-08-26 12:28:05,481',-100,90,101
'2023-08-26 12:28:05,575',-100,90,101
'2023-08-26 12:28:05,668',-100,90,101
'2023-08-26 12:28:05,762',-101,90,101
'2023-08-26 12:28:05,857',-101,90,101
'2023-08-26 12:28:05,951',-100,90,101
'2023-08-26 12:28:06,044',-100,90,101
'2023-08-26 12:28:06,137',-101,90,101
'2023-08-26 12:28:06,231',-100,90,101
'2023-08-26 12:28:06,325',-101,90,101
'2023-08-26 12:28:06,419',-101,90,101
'2023-08-26 12:28:06,513',-101,90,101
'2023-08-26 12:28:06,700',-100,90,101
'2023-08-26 12:28:06,795',-100,90,101
'2023-08-26 12:28:06,888',-100,90,101
'2023-08-26 12:28:06,982',-101,90,101
'2023-08-26 12:28:07,076',-101,90,101
'2023-08-26 12:28:07,169',-100,90,101
'2023-08-26 12:28:07,263',-101,90,101
'2023-08-26 12:28:07,357',-101,90,101
'2023-08-26 12:28:07,451',-101,90,101
'2023-08-26 12:28:07,543',-100,90,101
'2023-08-26 12:28:07,637',-101,90,101
'2023-08-26 12:28:07,731',-100,90,101
'2023-08-26 12:28:07,825',-100,90,101
'2023-08-26 12:28:07,919',-100,90,101
'2023-08-26 12:28:08,026',-100,90,101
'2023-08-26 12:28:08,106',-101,90,101
'2023-08-26 12:28:08,200',-101,90,101
'2023-08-26 12:28:08,294',-100,90,101
'2023-08-26 12:28:08,389',-101,90,101
'2023-08-26 12:28:08,481',-100,90,101
'2023-08-26 12:28:08,575',-100,90,101
'2023-08-26 12:28:08,669',-101,90,101
'2023-08-26 12:28:08,763',-100,90,101
'2023-08-26 12:28:08,857',-101,90,101
'2023-08-26 12:28:09,044',-101,84,101
'2023-08-26 12:28:09,137',-101,84,101
'2023-08-26 12:28:09,232',-100,84,101
'2023-08-26 12:28:09,325',-100,84,101
'2023-08-26 12:28:09,419',-101,84,101
'2023-08-26 12:28:09,513',-100,84,101
'2023-08-26 12:28:09,606',-100,84,101
'2023-08-26 12:28:09,607',-104,48,100
'2023-08-26 12:28:09,701',-100,84,101
'2023-08-26 12:28:09,794',-101,84,101
'2023-08-26 12:28:09,887',-100,84,101
'2023-08-26 12:28:09,981',-101,84,101
'2023-08-26 12:28:10,075',-100,84,101
'2023-08-26 12:28:10,169',-100,84,101
'2023-08-26 12:28:10,263',-101,84,101
'2023-08-26 12:28:10,356',-101,84,101
'2023-08-26 12:28:10,450',-101,84,101
'2023-08-26 12:28:10,545',-100,84,101
'2023-08-26 12:28:10,638',-100,84,101
'2023-08-26 12:28:10,732',-101,84,101
'2023-08-26 12:28:11,959',-101,48,100
'2023-08-26 12:28:12,046',-101,48,100
'2023-08-26 12:28:12,140',-101,48,100
'2023-08-26 12:28:12,234',-101,48,100
'2023-08-26 12:28:12,328',-101,48,100
'2023-08-26 12:28:12,422',-101,48,100
'2023-08-26 12:28:12,515',-102,48,100
'2023-08-26 12:28:12,609',-101,48,100
'2023-08-26 12:28:12,703',-101,48,100
'2023-08-26 12:28:12,798',-101,48,100
'2023-08-26 12:28:12,892',-101,48,100
'2023-08-26 12:28:12,984',-101,48,100
'2023-08-26 12:28:13,078',-101,48,100
'2023-08-26 12:28:13,172',-101,48,100
'2023-08-26 12:28:13,266',-101,48,100
'2023-08-26 12:28:13,359',-101,48,100
'2023-08-26 12:28:13,453',-101,48,100
'2023-08-26 12:28:13,547',-101,48,100
'2023-08-26 12:28:13,641',-101,48,100
'2023-08-26 12:28:13,735',-102,48,100
'2023-08-26 12:28:13,827',-102,48,100
'2023-08-26 12:28:13,921',-101,48,100
'2023-08-26 12:28:14,015',-101,48,100
'2023-08-26 12:28:14,110',-102,48,100
