timestamp,rssi,lqi,device_id
'2023-08-26 12:26:47,801',-88,106,26
'2023-08-26 12:26:47,894',-88,106,26
'2023-08-26 12:26:47,988',-88,106,26
'2023-08-26 12:26:48,082',-88,106,26
'2023-08-26 12:26:48,176',-88,106,26
'2023-08-26 12:26:48,269',-89,106,26
'2023-08-26 12:26:48,363',-89,106,26
'2023-08-26 12:26:48,457',-89,106,26
'2023-08-26 12:26:48,551',-89,106,26
'2023-08-26 12:26:48,645',-88,106,26
'2023-08-26 12:26:48,738',-88,106,26
'2023-08-26 12:26:48,832',-88,106,26
'2023-08-26 12:26:48,926',-88,106,26
'2023-08-26 12:26:49,020',-89,106,26
'2023-08-26 12:26:49,114',-89,106,26
'2023-08-26 12:26:49,301',-88,106,26
'2023-08-26 12:26:49,395',-89,106,26
'2023-08-26 12:26:49,489',-88,106,26
'2023-08-26 12:26:49,583',-88,106,26
'2023-08-26 12:26:49,677',-88,106,26
'2023-08-26 12:26:49,770',-88,106,26
'2023-08-26 12:26:49,863',-88,106,26
'2023-08-26 12:26:49,957',-88,106,26
'2023-08-26 12:26:50,051',-88,106,26
'2023-08-26 12:26:50,145',-88,106,26
'2023-08-26 12:26:50,238',-88,106,26
'2023-08-26 12:26:50,333',-88,106,26
'2023-08-26 12:26:50,426',-89,106,26
'2023-08-26 12:26:50,520',-88,106,26
'2023-08-26 12:26:50,613',-88,106,26
'2023-08-26 12:26:50,707',-88,106,26
'2023-08-26 12:26:50,802',-88,106,26
'2023-08-26 12:26:50,895',-88,106,26
'2023-08-26 12:26:50,989',-88,106,26
'2023-08-26 12:26:51,082',-88,106,26
'2023-08-26 12:26:51,176',-88,106,26
'2023-08-26 12:26:51,364',-88,106,26
'2023-08-26 12:26:51,458',-88,106,26
'2023-08-26 12:26:51,551',-88,106,26
'2023-08-26 12:26:51,644',-88,106,26
'2023-08-26 12:26:51,738',-88,106,26
'2023-08-26 12:26:51,833',-89,106,26
'2023-08-26 12:26:51,927',-88,106,26
'2023-08-26 12:26:52,020',-88,106,26
'2023-08-26 12:26:52,113',-88,106,26
'2023-08-26 12:26:52,207',-88,106,26
'2023-08-26 12:26:52,301',-88,106,26
'2023-08-26 12:26:52,395',-88,106,26
'2023-08-26 12:26:52,488',-88,106,26
'2023-08-26 12:26:52,582',-88,106,26
