timestamp,rssi,lqi,device_id
'2023-08-26 12:31:21,599',-87,97,109
'2023-08-26 12:31:21,691',-87,97,109
'2023-08-26 12:31:21,785',-87,97,109
'2023-08-26 12:31:21,879',-87,97,109
'2023-08-26 12:31:21,973',-87,97,109
'2023-08-26 12:31:22,065',-87,97,109
'2023-08-26 12:31:22,159',-87,97,109
'2023-08-26 12:31:22,254',-87,97,109
'2023-08-26 12:31:22,348',-87,97,109
'2023-08-26 12:31:22,441',-87,97,109
'2023-08-26 12:31:22,535',-87,97,109
'2023-08-26 12:31:22,628',-88,97,109
'2023-08-26 12:31:22,722',-87,97,109
'2023-08-26 12:31:22,816',-87,97,109
'2023-08-26 12:31:22,910',-88,97,109
'2023-08-26 12:31:23,004',-87,97,109
'2023-08-26 12:31:23,097',-87,97,109
'2023-08-26 12:31:23,191',-87,97,109
'2023-08-26 12:31:23,285',-87,97,109
'2023-08-26 12:31:23,379',-88,97,109
'2023-08-26 12:31:23,473',-87,97,109
'2023-08-26 12:31:23,566',-87,97,109
'2023-08-26 12:31:23,660',-87,97,109
'2023-08-26 12:31:23,754',-87,97,109
'2023-08-26 12:31:23,848',-87,97,109
'2023-08-26 12:31:23,941',-87,97,109
'2023-08-26 12:31:24,035',-87,97,109
'2023-08-26 12:31:24,129',-87,97,109
'2023-08-26 12:31:24,223',-87,97,109
'2023-08-26 12:31:24,317',-87,97,109
'2023-08-26 12:31:24,410',-87,97,109
'2023-08-26 12:31:24,504',-87,97,109
'2023-08-26 12:31:24,597',-87,97,109
'2023-08-26 12:31:24,691',-87,97,109
'2023-08-26 12:31:24,785',-87,97,109
'2023-08-26 12:31:24,878',-87,97,109
'2023-08-26 12:31:24,972',-88,97,109
'2023-08-26 12:31:25,066',-87,97,109
'2023-08-26 12:31:25,160',-87,97,109
'2023-08-26 12:31:25,254',-87,97,109
'2023-08-26 12:31:25,347',-87,97,109
'2023-08-26 12:31:25,441',-87,97,109
'2023-08-26 12:31:25,535',-87,97,109
'2023-08-26 12:31:25,629',-87,97,109
'2023-08-26 12:31:25,723',-88,97,109
'2023-08-26 12:31:25,816',-87,97,109
'2023-08-26 12:31:25,910',-87,97,109
'2023-08-26 12:31:26,004',-87,97,109
'2023-08-26 12:31:26,098',-88,97,109
'2023-08-26 12:31:26,191',-87,97,109
'2023-08-26 12:31:26,285',-87,97,109
'2023-08-26 12:31:26,379',-87,97,109
'2023-08-26 12:31:26,473',-87,97,109
'2023-08-26 12:31:26,567',-87,97,109
'2023-08-26 12:31:26,659',-87,97,109
'2023-08-26 12:31:26,753',-87,97,109
'2023-08-26 12:31:26,847',-87,97,109
'2023-08-26 12:31:26,942',-87,97,109
'2023-08-26 12:31:27,035',-87,97,109
'2023-08-26 12:31:27,128',-87,97,109
'2023-08-26 12:31:27,222',-87,97,109
'2023-08-26 12:31:27,316',-87,97,109
'2023-08-26 12:31:27,410',-87,97,109
'2023-08-26 12:31:27,504',-87,97,109
'2023-08-26 12:31:27,597',-87,97,109
'2023-08-26 12:31:27,691',-87,97,109
'2023-08-26 12:31:27,785',-87,97,109
'2023-08-26 12:31:27,879',-87,97,109
'2023-08-26 12:31:27,973',-87,97,109
'2023-08-26 12:31:28,066',-87,97,109
'2023-08-26 12:31:28,160',-87,97,109
'2023-08-26 12:31:28,254',-87,97,109
'2023-08-26 12:31:28,348',-87,97,109
'2023-08-26 12:31:28,441',-87,97,109
'2023-08-26 12:31:28,535',-87,97,109
'2023-08-26 12:31:28,629',-87,97,109
'2023-08-26 12:31:28,723',-87,97,109
'2023-08-26 12:31:28,817',-87,97,109
'2023-08-26 12:31:28,909',-87,97,109
'2023-08-26 12:31:29,003',-87,97,109
'2023-08-26 12:31:29,097',-87,97,109
'2023-08-26 12:31:29,191',-87,97,109
'2023-08-26 12:31:29,285',-88,97,109
'2023-08-26 12:31:29,378',-87,97,109
'2023-08-26 12:31:29,472',-87,97,109
'2023-08-26 12:31:29,566',-87,97,109
'2023-08-26 12:31:29,660',-87,97,109
'2023-08-26 12:31:29,754',-87,97,109
'2023-08-26 12:31:29,847',-87,97,109
'2023-08-26 12:31:29,941',-88,97,109
'2023-08-26 12:31:30,035',-87,97,109
'2023-08-26 12:31:30,129',-87,97,109
'2023-08-26 12:31:30,223',-87,97,109
'2023-08-26 12:31:30,316',-87,97,109
'2023-08-26 12:31:30,410',-87,97,109
'2023-08-26 12:31:30,504',-87,97,109
'2023-08-26 12:31:30,598',-87,97,109
'2023-08-26 12:31:30,691',-87,97,109
'2023-08-26 12:31:30,785',-87,97,109
'2023-08-26 12:31:30,880',-87,97,109
'2023-08-26 12:31:32,154',-98,89,108
'2023-08-26 12:31:32,154',-91,97,109
'2023-08-26 12:31:32,248',-98,89,108
'2023-08-26 12:31:32,248',-91,97,109
'2023-08-26 12:31:32,341',-98,89,108
'2023-08-26 12:31:32,341',-91,97,109
'2023-08-26 12:31:32,435',-98,89,108
'2023-08-26 12:31:32,435',-91,97,109
'2023-08-26 12:31:32,529',-98,89,108
'2023-08-26 12:31:32,529',-91,97,109
'2023-08-26 12:31:32,623',-91,97,109
'2023-08-26 12:31:32,623',-98,89,108
'2023-08-26 12:31:32,716',-91,97,109
'2023-08-26 12:31:32,717',-98,89,108
'2023-08-26 12:31:32,809',-98,89,108
'2023-08-26 12:31:32,810',-91,97,109
'2023-08-26 12:31:32,904',-98,89,108
'2023-08-26 12:31:32,904',-91,97,109
'2023-08-26 12:31:32,998',-98,89,108
