timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17058',-94,100,4
'2023-08-26 12:23:17058',-67,108,4
'2023-08-26 12:23:17058',-60,108,4
'2023-08-26 12:23:17059',-86,108,4
'2023-08-26 12:23:17151',-60,108,4
'2023-08-26 12:23:17151',-86,108,4
'2023-08-26 12:23:17151',-67,108,4
'2023-08-26 12:23:17152',-95,100,4
'2023-08-26 12:23:17244',-67,108,4
'2023-08-26 12:23:17244',-94,100,4
'2023-08-26 12:23:17245',-60,108,4
'2023-08-26 12:23:17245',-86,108,4
'2023-08-26 12:23:17338',-86,108,4
'2023-08-26 12:23:17338',-67,108,4
'2023-08-26 12:23:17338',-95,100,4
'2023-08-26 12:23:17339',-60,108,4
'2023-08-26 12:23:17432',-86,108,4
'2023-08-26 12:23:17432',-67,108,4
'2023-08-26 12:23:17432',-95,100,4
'2023-08-26 12:23:17433',-60,108,4
'2023-08-26 12:23:17526',-86,108,4
'2023-08-26 12:23:17526',-67,108,4
'2023-08-26 12:23:17527',-95,100,4
'2023-08-26 12:23:17527',-60,108,4
'2023-08-26 12:23:17619',-94,100,4
'2023-08-26 12:23:17619',-60,108,4
'2023-08-26 12:23:17620',-86,108,4
'2023-08-26 12:23:17620',-66,108,4
'2023-08-26 12:23:17713',-67,108,4
'2023-08-26 12:23:17713',-95,100,4
'2023-08-26 12:23:17714',-60,108,4
'2023-08-26 12:23:17714',-86,108,4
'2023-08-26 12:23:17807',-86,108,4
'2023-08-26 12:23:17807',-94,100,4
'2023-08-26 12:23:17807',-67,108,4
'2023-08-26 12:23:17807',-60,108,4
'2023-08-26 12:23:17901',-86,108,4
'2023-08-26 12:23:17901',-67,108,4
'2023-08-26 12:23:17901',-95,100,4
'2023-08-26 12:23:17901',-60,108,4
'2023-08-26 12:23:17994',-86,108,4
'2023-08-26 12:23:17995',-66,108,4
'2023-08-26 12:23:17995',-95,100,4
'2023-08-26 12:23:17995',-60,108,4
'2023-08-26 12:23:18088',-95,100,4
'2023-08-26 12:23:18088',-60,108,4
'2023-08-26 12:23:18089',-86,108,4
'2023-08-26 12:23:18089',-67,108,4
'2023-08-26 12:23:18182',-67,108,4
'2023-08-26 12:23:18182',-95,100,4
'2023-08-26 12:23:18182',-60,108,4
'2023-08-26 12:23:18183',-86,108,4
'2023-08-26 12:23:18276',-67,108,4
'2023-08-26 12:23:18276',-95,100,4
'2023-08-26 12:23:18276',-60,108,4
'2023-08-26 12:23:18277',-86,108,4
'2023-08-26 12:23:18369',-86,108,4
'2023-08-26 12:23:18370',-67,108,4
'2023-08-26 12:23:18370',-95,100,4
'2023-08-26 12:23:18370',-60,108,4
'2023-08-26 12:23:18463',-86,108,4
'2023-08-26 12:23:18464',-67,108,4
'2023-08-26 12:23:18464',-95,100,4
'2023-08-26 12:23:18464',-60,108,4
'2023-08-26 12:23:18557',-66,108,4
'2023-08-26 12:23:18557',-60,108,4
'2023-08-26 12:23:18557',-94,100,4
'2023-08-26 12:23:18557',-86,108,4
'2023-08-26 12:23:18651',-67,108,4
'2023-08-26 12:23:18651',-94,100,4
'2023-08-26 12:23:18651',-60,108,4
'2023-08-26 12:23:18651',-86,108,4
'2023-08-26 12:23:18744',-86,108,4
'2023-08-26 12:23:18745',-95,100,4
'2023-08-26 12:23:18745',-67,108,4
'2023-08-26 12:23:18745',-60,108,4
'2023-08-26 12:23:18838',-86,108,4
'2023-08-26 12:23:18839',-94,100,4
'2023-08-26 12:23:18839',-67,108,4
'2023-08-26 12:23:18839',-60,108,4
'2023-08-26 12:23:18934',-60,108,4
'2023-08-26 12:23:18934',-86,108,4
'2023-08-26 12:23:18934',-95,100,4
'2023-08-26 12:23:18935',-67,108,4
'2023-08-26 12:23:19025',-95,100,4
'2023-08-26 12:23:19026',-60,108,4
'2023-08-26 12:23:19026',-86,108,4
'2023-08-26 12:23:19027',-67,108,4
'2023-08-26 12:23:19120',-95,100,4
'2023-08-26 12:23:19120',-67,108,4
