timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17,058',-93,106,15
'2023-08-26 12:23:17,058',-92,107,13
'2023-08-26 12:23:17,059',-96,97,14
'2023-08-26 12:23:17,059',-92,106,16
'2023-08-26 12:23:17,150',-91,107,13
'2023-08-26 12:23:17,151',-97,97,14
'2023-08-26 12:23:17,151',-92,106,16
'2023-08-26 12:23:17,151',-93,106,15
'2023-08-26 12:23:17,244',-92,107,13
'2023-08-26 12:23:17,245',-96,97,14
'2023-08-26 12:23:17,245',-92,106,16
'2023-08-26 12:23:17,245',-93,106,15
'2023-08-26 12:23:17,338',-93,106,15
'2023-08-26 12:23:17,338',-91,107,13
'2023-08-26 12:23:17,339',-96,97,14
'2023-08-26 12:23:17,339',-92,106,16
'2023-08-26 12:23:17,431',-96,97,14
'2023-08-26 12:23:17,432',-92,106,16
'2023-08-26 12:23:17,432',-93,106,15
'2023-08-26 12:23:17,433',-91,107,13
'2023-08-26 12:23:17,526',-96,97,14
'2023-08-26 12:23:17,526',-92,106,16
'2023-08-26 12:23:17,526',-93,106,15
'2023-08-26 12:23:17,527',-92,107,13
'2023-08-26 12:23:17,619',-92,107,13
'2023-08-26 12:23:17,620',-92,106,16
'2023-08-26 12:23:17,620',-96,97,14
'2023-08-26 12:23:17,620',-93,106,15
'2023-08-26 12:23:17,713',-93,106,15
'2023-08-26 12:23:17,713',-91,107,13
'2023-08-26 12:23:17,714',-92,106,16
'2023-08-26 12:23:17,714',-96,97,14
'2023-08-26 12:23:17,807',-96,97,14
'2023-08-26 12:23:17,807',-93,106,15
'2023-08-26 12:23:17,807',-91,107,13
'2023-08-26 12:23:17,808',-93,106,16
'2023-08-26 12:23:17,900',-92,106,16
'2023-08-26 12:23:17,901',-96,97,14
'2023-08-26 12:23:17,901',-93,106,15
'2023-08-26 12:23:17,902',-91,107,13
'2023-08-26 12:23:17,994',-92,106,16
'2023-08-26 12:23:17,995',-97,97,14
'2023-08-26 12:23:17,995',-93,106,15
'2023-08-26 12:23:17,996',-91,107,13
'2023-08-26 12:23:18,088',-92,107,13
'2023-08-26 12:23:18,088',-92,106,16
'2023-08-26 12:23:18,089',-97,97,14
'2023-08-26 12:23:18,089',-93,106,15
'2023-08-26 12:23:18,182',-91,107,13
'2023-08-26 12:23:18,182',-93,106,16
'2023-08-26 12:23:18,183',-96,97,14
'2023-08-26 12:23:18,183',-93,106,15
'2023-08-26 12:23:18,275',-96,97,14
'2023-08-26 12:23:18,276',-93,106,15
'2023-08-26 12:23:18,276',-91,107,13
'2023-08-26 12:23:18,277',-92,106,16
'2023-08-26 12:23:18,369',-92,106,16
'2023-08-26 12:23:18,370',-93,106,15
'2023-08-26 12:23:18,370',-97,97,14
'2023-08-26 12:23:18,370',-91,107,13
'2023-08-26 12:23:18,463',-91,107,13
'2023-08-26 12:23:18,463',-92,106,16
'2023-08-26 12:23:18,464',-93,106,15
'2023-08-26 12:23:18,464',-96,97,14
'2023-08-26 12:23:18,557',-91,107,13
'2023-08-26 12:23:18,557',-92,106,16
'2023-08-26 12:23:18,558',-93,106,15
'2023-08-26 12:23:18,558',-96,97,14
'2023-08-26 12:23:18,745',-96,97,14
'2023-08-26 12:23:18,745',-92,107,13
'2023-08-26 12:23:18,745',-92,106,16
'2023-08-26 12:23:18,746',-93,106,15
'2023-08-26 12:23:18,934',-93,106,15
'2023-08-26 12:23:18,934',-96,97,14
'2023-08-26 12:23:18,934',-91,107,13
'2023-08-26 12:23:18,935',-92,106,16
'2023-08-26 12:23:19,026',-92,106,16
'2023-08-26 12:23:19,026',-93,106,15
'2023-08-26 12:23:19,026',-96,97,14
'2023-08-26 12:23:19,027',-91,107,13
'2023-08-26 12:23:19,119',-92,107,13
'2023-08-26 12:23:19,120',-92,106,16
