timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17,058',-70,108,2
'2023-08-26 12:23:17,058',-66,107,3
'2023-08-26 12:23:17,058',-69,107,4
'2023-08-26 12:23:17,151',-69,107,4
'2023-08-26 12:23:17,151',-70,108,2
'2023-08-26 12:23:17,152',-66,107,3
'2023-08-26 12:23:17,244',-66,107,3
'2023-08-26 12:23:17,244',-69,107,4
'2023-08-26 12:23:17,245',-70,108,2
'2023-08-26 12:23:17,338',-70,108,2
'2023-08-26 12:23:17,338',-66,107,3
'2023-08-26 12:23:17,339',-69,107,4
'2023-08-26 12:23:17,432',-70,108,2
'2023-08-26 12:23:17,432',-66,107,3
'2023-08-26 12:23:17,432',-69,107,4
'2023-08-26 12:23:17,526',-70,108,2
'2023-08-26 12:23:17,526',-66,107,3
'2023-08-26 12:23:17,527',-69,107,4
'2023-08-26 12:23:17,619',-69,107,4
'2023-08-26 12:23:17,620',-70,108,2
'2023-08-26 12:23:17,620',-66,107,3
'2023-08-26 12:23:17,713',-66,107,3
'2023-08-26 12:23:17,713',-69,107,4
'2023-08-26 12:23:17,714',-70,108,2
'2023-08-26 12:23:17,807',-70,108,2
'2023-08-26 12:23:17,807',-66,107,3
'2023-08-26 12:23:17,808',-69,107,4
'2023-08-26 12:23:17,901',-70,108,2
'2023-08-26 12:23:17,901',-66,107,3
'2023-08-26 12:23:17,902',-69,107,4
'2023-08-26 12:23:17,995',-70,108,2
'2023-08-26 12:23:17,995',-66,107,3
'2023-08-26 12:23:17,995',-69,107,4
'2023-08-26 12:23:18,088',-69,107,4
'2023-08-26 12:23:18,089',-70,108,2
'2023-08-26 12:23:18,089',-66,107,3
'2023-08-26 12:23:18,182',-69,107,4
'2023-08-26 12:23:18,183',-70,108,2
'2023-08-26 12:23:18,183',-66,107,3
'2023-08-26 12:23:18,276',-70,108,2
'2023-08-26 12:23:18,276',-66,107,3
'2023-08-26 12:23:18,276',-69,107,4
'2023-08-26 12:23:18,370',-70,108,2
'2023-08-26 12:23:18,370',-66,107,3
'2023-08-26 12:23:18,370',-69,107,4
'2023-08-26 12:23:18,464',-71,108,2
'2023-08-26 12:23:18,464',-66,107,3
'2023-08-26 12:23:18,464',-69,107,4
'2023-08-26 12:23:18,557',-69,107,4
'2023-08-26 12:23:18,558',-70,108,2
'2023-08-26 12:23:18,558',-66,107,3
'2023-08-26 12:23:18,651',-66,107,3
'2023-08-26 12:23:18,651',-69,107,4
'2023-08-26 12:23:18,652',-70,108,2
'2023-08-26 12:23:18,744',-70,108,2
'2023-08-26 12:23:18,745',-66,107,3
'2023-08-26 12:23:18,745',-69,107,4
'2023-08-26 12:23:18,838',-70,108,2
'2023-08-26 12:23:18,839',-66,107,3
'2023-08-26 12:23:18,839',-69,107,4
'2023-08-26 12:23:18,934',-69,107,4
'2023-08-26 12:23:18,934',-70,108,2
'2023-08-26 12:23:18,935',-66,107,3
'2023-08-26 12:23:19,026',-69,107,4
'2023-08-26 12:23:19,027',-70,108,2
'2023-08-26 12:23:19,027',-66,107,3
'2023-08-26 12:23:19,119',-70,108,2
'2023-08-26 12:23:19,120',-66,107,3
