timestamp,rssi,lqi,device_id
'2023-08-26 12:32:35298',-100,38,118
'2023-08-26 12:32:35298',-85,34,3
'2023-08-26 12:32:35385',-100,38,118
'2023-08-26 12:32:35386',-85,34,3
'2023-08-26 12:32:35479',-100,38,118
'2023-08-26 12:32:35480',-85,34,3
'2023-08-26 12:32:35573',-100,38,118
'2023-08-26 12:32:35574',-85,34,3
'2023-08-26 12:32:35666',-85,34,3
'2023-08-26 12:32:35760',-85,34,3
'2023-08-26 12:32:35761',-100,38,118
'2023-08-26 12:32:35854',-85,34,3
'2023-08-26 12:32:35948',-85,34,3
'2023-08-26 12:32:35949',-100,74,118
'2023-08-26 12:32:36042',-85,34,3
'2023-08-26 12:32:36043',-100,74,118
'2023-08-26 12:32:36135',-85,34,3
'2023-08-26 12:32:36135',-100,74,118
'2023-08-26 12:32:36229',-85,34,3
'2023-08-26 12:32:36323',-85,34,3
'2023-08-26 12:32:36417',-100,74,118
'2023-08-26 12:32:36417',-85,34,3
'2023-08-26 12:32:36511',-85,34,3
'2023-08-26 12:32:36605',-100,74,118
'2023-08-26 12:32:36605',-85,34,3
'2023-08-26 12:32:36698',-85,34,3
'2023-08-26 12:32:36699',-100,74,118
'2023-08-26 12:32:36792',-85,34,3
'2023-08-26 12:32:36886',-85,34,3
'2023-08-26 12:32:36980',-85,34,3
'2023-08-26 12:32:36980',-101,74,118
'2023-08-26 12:32:37073',-85,34,3
'2023-08-26 12:32:37073',-100,74,118
'2023-08-26 12:32:37167',-85,34,3
'2023-08-26 12:32:37261',-100,74,118
'2023-08-26 12:32:37261',-85,34,3
'2023-08-26 12:32:37355',-85,34,3
'2023-08-26 12:32:37448',-85,34,3
'2023-08-26 12:32:37448',-100,66,118
'2023-08-26 12:32:37542',-85,34,3
'2023-08-26 12:32:37636',-85,34,3
'2023-08-26 12:32:37730',-100,62,118
'2023-08-26 12:32:37730',-85,34,3
'2023-08-26 12:32:37823',-85,34,3
'2023-08-26 12:32:37917',-85,34,3
'2023-08-26 12:32:37918',-101,64,118
'2023-08-26 12:32:38011',-85,34,3
'2023-08-26 12:32:38104',-100,64,118
'2023-08-26 12:32:38105',-85,34,3
'2023-08-26 12:32:38198',-85,34,3
'2023-08-26 12:32:38198',-100,64,118
'2023-08-26 12:32:38292',-85,34,3
'2023-08-26 12:32:38386',-100,64,118
'2023-08-26 12:32:38386',-85,34,3
'2023-08-26 12:32:38480',-100,64,118
'2023-08-26 12:32:38480',-85,34,3
'2023-08-26 12:32:38573',-85,34,3
'2023-08-26 12:32:38667',-85,34,3
'2023-08-26 12:32:38668',-100,64,118
'2023-08-26 12:32:38761',-85,34,3
'2023-08-26 12:32:38854',-100,67,118
'2023-08-26 12:32:38855',-85,34,3
'2023-08-26 12:32:38948',-85,34,3
'2023-08-26 12:32:39042',-85,34,3
'2023-08-26 12:32:39136',-100,63,118
'2023-08-26 12:32:39136',-85,34,3
'2023-08-26 12:32:39230',-100,63,118
'2023-08-26 12:32:39230',-85,34,3
'2023-08-26 12:32:39324',-100,63,118
'2023-08-26 12:32:39324',-85,34,3
'2023-08-26 12:32:39417',-85,34,3
'2023-08-26 12:32:39511',-85,34,3
'2023-08-26 12:32:39511',-100,63,118
'2023-08-26 12:32:39605',-85,34,3
'2023-08-26 12:32:39698',-100,71,118
'2023-08-26 12:32:39699',-85,34,3
'2023-08-26 12:32:39792',-85,34,3
'2023-08-26 12:32:39792',-100,71,118
'2023-08-26 12:32:39886',-85,34,3
'2023-08-26 12:32:39886',-101,71,118
'2023-08-26 12:32:39980',-85,34,3
'2023-08-26 12:32:39980',-100,71,118
'2023-08-26 12:32:40074',-85,34,3
'2023-08-26 12:32:40168',-85,34,3
'2023-08-26 12:32:40168',-100,71,118
'2023-08-26 12:32:40262',-100,71,118
'2023-08-26 12:32:40262',-85,34,3
'2023-08-26 12:32:40354',-85,34,3
'2023-08-26 12:32:40355',-101,71,118
'2023-08-26 12:32:40448',-85,34,3
'2023-08-26 12:32:40449',-100,71,118
'2023-08-26 12:32:40542',-85,34,3
'2023-08-26 12:32:40637',-85,34,3
'2023-08-26 12:32:40729',-85,34,3
'2023-08-26 12:32:40730',-100,71,118
'2023-08-26 12:32:40823',-85,34,3
'2023-08-26 12:32:40823',-101,71,118
'2023-08-26 12:32:40917',-100,71,118
'2023-08-26 12:32:40917',-85,34,3
'2023-08-26 12:32:41011',-100,71,118
'2023-08-26 12:32:41011',-85,34,3
'2023-08-26 12:32:41105',-85,34,3
'2023-08-26 12:32:41198',-85,34,3
'2023-08-26 12:32:41199',-101,71,118
'2023-08-26 12:32:41292',-85,34,3
'2023-08-26 12:32:41386',-85,34,3
'2023-08-26 12:32:41386',-100,70,118
'2023-08-26 12:32:41479',-100,70,118
'2023-08-26 12:32:41480',-85,34,3
'2023-08-26 12:32:41573',-100,70,118
'2023-08-26 12:32:41574',-85,34,3
'2023-08-26 12:32:41667',-85,34,3
'2023-08-26 12:32:41667',-100,70,118
'2023-08-26 12:32:41761',-85,34,3
'2023-08-26 12:32:41761',-100,70,118
'2023-08-26 12:32:41855',-85,34,3
'2023-08-26 12:32:41856',-100,70,118
'2023-08-26 12:32:41949',-85,34,3
'2023-08-26 12:32:42042',-85,34,3
'2023-08-26 12:32:42136',-85,34,3
'2023-08-26 12:32:42136',-100,68,118
'2023-08-26 12:32:42230',-85,34,3
'2023-08-26 12:32:42230',-100,68,118
'2023-08-26 12:32:42324',-85,34,3
'2023-08-26 12:32:42418',-85,34,3
'2023-08-26 12:32:42510',-85,34,3
'2023-08-26 12:32:42604',-85,34,3
'2023-08-26 12:32:42699',-85,34,3
'2023-08-26 12:32:42699',-100,64,118
'2023-08-26 12:32:42792',-85,34,3
'2023-08-26 12:32:42888',-85,34,3
'2023-08-26 12:32:42980',-85,34,3
'2023-08-26 12:32:42981',-100,64,118
'2023-08-26 12:32:43073',-100,64,118
'2023-08-26 12:32:43073',-85,34,3
'2023-08-26 12:32:43167',-85,34,3
'2023-08-26 12:32:43261',-85,34,3
'2023-08-26 12:32:43355',-100,71,118
'2023-08-26 12:32:43355',-85,34,3
'2023-08-26 12:32:43448',-85,34,3
'2023-08-26 12:32:43542',-85,34,3
'2023-08-26 12:32:43636',-85,34,3
'2023-08-26 12:32:43730',-101,69,118
'2023-08-26 12:32:43730',-85,34,3
'2023-08-26 12:32:43824',-101,69,118
'2023-08-26 12:32:43824',-85,34,3
'2023-08-26 12:32:43917',-85,34,3
'2023-08-26 12:32:44011',-85,34,3
'2023-08-26 12:32:44012',-100,69,118
'2023-08-26 12:32:44104',-100,69,118
'2023-08-26 12:32:44105',-85,34,3
'2023-08-26 12:32:44198',-100,69,118
'2023-08-26 12:32:44199',-85,34,3
'2023-08-26 12:32:44292',-85,34,3
'2023-08-26 12:32:44292',-100,69,118
'2023-08-26 12:32:44386',-85,34,3
'2023-08-26 12:32:44480',-85,34,3
'2023-08-26 12:32:44480',-100,69,118
'2023-08-26 12:32:44574',-101,69,118
'2023-08-26 12:32:44575',-85,34,3
'2023-08-26 12:32:45830',-85,34,3
'2023-08-26 12:32:45837',-98,69,118
'2023-08-26 12:32:45837',-89,101,3
'2023-08-26 12:32:45837',-100,33,118
'2023-08-26 12:32:45926',-99,69,118
'2023-08-26 12:32:45926',-101,33,118
'2023-08-26 12:32:45926',-89,101,3
'2023-08-26 12:32:46020',-99,69,118
'2023-08-26 12:32:46020',-88,101,3
'2023-08-26 12:32:46113',-88,101,3
'2023-08-26 12:32:46113',-98,69,118
'2023-08-26 12:32:46114',-100,76,118
'2023-08-26 12:32:46207',-101,76,118
'2023-08-26 12:32:46207',-99,69,118
'2023-08-26 12:32:46207',-88,101,3
'2023-08-26 12:32:46301',-100,76,118
'2023-08-26 12:32:46301',-99,69,118
'2023-08-26 12:32:46301',-89,101,3
'2023-08-26 12:32:46395',-99,69,118
'2023-08-26 12:32:46395',-88,101,3
'2023-08-26 12:32:46488',-101,76,118
'2023-08-26 12:32:46489',-98,69,118
'2023-08-26 12:32:46489',-88,101,3
'2023-08-26 12:32:46581',-99,69,118
'2023-08-26 12:32:46582',-88,101,3
'2023-08-26 12:32:46676',-88,101,3
'2023-08-26 12:32:46676',-99,69,118
'2023-08-26 12:32:46770',-88,101,3
'2023-08-26 12:32:46770',-98,69,118
'2023-08-26 12:32:46864',-89,101,3
'2023-08-26 12:32:46864',-98,69,118
'2023-08-26 12:32:46957',-100,76,118
'2023-08-26 12:32:46958',-88,101,3
'2023-08-26 12:32:46958',-98,69,118
'2023-08-26 12:32:47050',-98,69,118
'2023-08-26 12:32:47051',-101,76,118
'2023-08-26 12:32:47052',-88,101,3
'2023-08-26 12:32:47144',-100,76,118
'2023-08-26 12:32:47144',-88,101,3
'2023-08-26 12:32:47145',-98,69,118
'2023-08-26 12:32:47238',-101,76,118
'2023-08-26 12:32:47238',-88,101,3
'2023-08-26 12:32:47239',-99,69,118
'2023-08-26 12:32:47332',-100,76,118
'2023-08-26 12:32:47332',-88,101,3
'2023-08-26 12:32:47333',-99,69,118
'2023-08-26 12:32:47425',-99,69,118
'2023-08-26 12:32:47426',-101,76,118
'2023-08-26 12:32:47426',-88,101,3
'2023-08-26 12:32:47519',-88,101,3
'2023-08-26 12:32:47520',-98,69,118
'2023-08-26 12:32:47520',-101,76,118
'2023-08-26 12:32:47613',-100,76,118
'2023-08-26 12:32:47613',-88,101,3
'2023-08-26 12:32:47614',-99,69,118
'2023-08-26 12:32:47707',-101,76,118
'2023-08-26 12:32:47707',-88,101,3
'2023-08-26 12:32:47708',-98,69,118
'2023-08-26 12:32:47801',-98,69,118
'2023-08-26 12:32:47801',-88,101,3
'2023-08-26 12:32:47895',-98,69,118
'2023-08-26 12:32:47895',-89,101,3
'2023-08-26 12:32:47988',-89,101,3
'2023-08-26 12:32:47989',-100,76,118
'2023-08-26 12:32:47989',-99,69,118
'2023-08-26 12:32:48082',-88,101,3
'2023-08-26 12:32:48083',-100,76,118
'2023-08-26 12:32:48083',-99,69,118
'2023-08-26 12:32:48176',-99,69,118
'2023-08-26 12:32:48176',-88,101,3
'2023-08-26 12:32:48270',-98,69,118
'2023-08-26 12:32:48270',-88,101,3
'2023-08-26 12:32:48363',-100,78,118
'2023-08-26 12:32:48364',-99,69,118
'2023-08-26 12:32:48364',-88,101,3
'2023-08-26 12:32:48457',-88,101,3
'2023-08-26 12:32:48458',-98,69,118
'2023-08-26 12:32:48550',-98,69,118
'2023-08-26 12:32:48551',-88,101,3
