timestamp,rssi,lqi,device_id
'2023-08-26 12:26:47,801',-97,42,23
'2023-08-26 12:26:47,894',-97,42,23
'2023-08-26 12:26:47,988',-97,42,23
'2023-08-26 12:26:48,082',-97,42,23
'2023-08-26 12:26:48,176',-97,42,23
'2023-08-26 12:26:48,269',-97,42,23
'2023-08-26 12:26:48,363',-97,42,23
'2023-08-26 12:26:48,457',-97,42,23
'2023-08-26 12:26:48,551',-97,42,23
'2023-08-26 12:26:48,645',-97,42,23
'2023-08-26 12:26:48,738',-97,42,23
'2023-08-26 12:26:48,832',-97,42,23
'2023-08-26 12:26:48,926',-97,42,23
'2023-08-26 12:26:49,020',-97,42,23
'2023-08-26 12:26:49,114',-97,42,23
'2023-08-26 12:26:49,300',-97,42,23
'2023-08-26 12:26:49,395',-97,42,23
'2023-08-26 12:26:49,489',-97,42,23
'2023-08-26 12:26:49,583',-97,42,23
'2023-08-26 12:26:49,677',-97,42,23
'2023-08-26 12:26:49,769',-97,42,23
'2023-08-26 12:26:49,864',-97,42,23
'2023-08-26 12:26:49,958',-97,42,23
'2023-08-26 12:26:50,051',-97,42,23
'2023-08-26 12:26:50,145',-97,42,23
'2023-08-26 12:26:50,238',-97,42,23
'2023-08-26 12:26:50,332',-97,42,23
'2023-08-26 12:26:50,426',-97,42,23
'2023-08-26 12:26:50,520',-97,42,23
'2023-08-26 12:26:50,613',-97,42,23
'2023-08-26 12:26:50,707',-97,42,23
'2023-08-26 12:26:50,801',-97,42,23
'2023-08-26 12:26:50,895',-97,42,23
'2023-08-26 12:26:50,988',-97,42,23
'2023-08-26 12:26:51,082',-97,42,23
'2023-08-26 12:26:51,176',-97,42,23
'2023-08-26 12:26:51,364',-97,88,23
'2023-08-26 12:26:51,457',-97,88,23
'2023-08-26 12:26:51,551',-97,88,23
'2023-08-26 12:26:51,645',-97,88,23
'2023-08-26 12:26:51,739',-97,88,23
'2023-08-26 12:26:51,833',-96,88,23
'2023-08-26 12:26:51,925',-97,88,23
'2023-08-26 12:26:52,020',-97,88,23
'2023-08-26 12:26:52,113',-97,88,23
'2023-08-26 12:26:52,207',-97,88,23
'2023-08-26 12:26:52,301',-96,88,23
'2023-08-26 12:26:52,394',-97,88,23
'2023-08-26 12:26:52,488',-97,88,23
'2023-08-26 12:26:52,582',-97,88,23
'2023-08-26 12:26:52,676',-97,88,23
'2023-08-26 12:26:52,864',-97,88,23
'2023-08-26 12:26:52,956',-97,88,23
'2023-08-26 12:26:53,051',-97,88,23
'2023-08-26 12:26:53,145',-97,88,23
'2023-08-26 12:26:53,239',-97,88,23
'2023-08-26 12:26:53,333',-97,88,23
'2023-08-26 12:26:53,426',-97,88,23
'2023-08-26 12:26:53,521',-97,88,23
'2023-08-26 12:26:53,614',-97,88,23
'2023-08-26 12:26:53,707',-96,88,23
'2023-08-26 12:26:53,801',-97,88,23
'2023-08-26 12:26:53,894',-97,88,23
'2023-08-26 12:26:53,988',-97,88,23
'2023-08-26 12:26:54,082',-97,88,23
'2023-08-26 12:26:54,176',-97,88,23
'2023-08-26 12:26:54,270',-97,88,23
'2023-08-26 12:26:54,363',-97,88,23
'2023-08-26 12:26:54,457',-97,88,23
'2023-08-26 12:26:54,645',-97,88,23
'2023-08-26 12:26:54,739',-97,88,23
'2023-08-26 12:26:54,832',-97,88,23
'2023-08-26 12:26:54,926',-97,88,23
'2023-08-26 12:26:55,020',-98,88,23
'2023-08-26 12:26:55,114',-97,88,23
'2023-08-26 12:26:55,208',-97,88,23
'2023-08-26 12:26:55,300',-97,88,23
'2023-08-26 12:26:55,394',-97,88,23
'2023-08-26 12:26:55,488',-97,88,23
'2023-08-26 12:26:55,583',-97,88,23
'2023-08-26 12:26:55,677',-98,88,23
'2023-08-26 12:26:55,769',-98,88,23
'2023-08-26 12:26:55,863',-98,88,23
'2023-08-26 12:26:55,957',-97,88,23
'2023-08-26 12:26:56,051',-97,88,23
'2023-08-26 12:26:56,145',-97,88,23
'2023-08-26 12:26:56,238',-97,88,23
'2023-08-26 12:26:56,332',-97,88,23
'2023-08-26 12:26:56,426',-97,88,23
'2023-08-26 12:26:56,520',-97,88,23
'2023-08-26 12:26:56,613',-98,88,23
'2023-08-26 12:26:56,707',-97,88,23
'2023-08-26 12:26:56,801',-97,88,23
'2023-08-26 12:26:56,895',-97,88,23
'2023-08-26 12:26:56,988',-97,88,23
'2023-08-26 12:26:58,355',-67,88,23
'2023-08-26 12:26:58,449',-68,88,23
'2023-08-26 12:26:58,543',-67,88,23
'2023-08-26 12:26:58,636',-68,88,23
'2023-08-26 12:26:58,730',-67,88,23
'2023-08-26 12:26:58,824',-67,88,23
'2023-08-26 12:26:58,917',-67,88,23
'2023-08-26 12:26:59,011',-68,88,23
'2023-08-26 12:26:59,105',-67,88,23
'2023-08-26 12:26:59,199',-67,88,23
'2023-08-26 12:26:59,293',-68,88,23
'2023-08-26 12:26:59,387',-67,88,23
'2023-08-26 12:26:59,480',-68,88,23
'2023-08-26 12:26:59,574',-68,88,23
'2023-08-26 12:26:59,668',-67,88,23
'2023-08-26 12:26:59,762',-67,88,23
'2023-08-26 12:26:59,856',-67,88,23
'2023-08-26 12:26:59,949',-67,88,23
'2023-08-26 12:27:00,043',-67,88,23
'2023-08-26 12:27:00,137',-68,88,23
'2023-08-26 12:27:00,231',-67,88,23
'2023-08-26 12:27:00,324',-67,88,23
'2023-08-26 12:27:00,418',-67,88,23
'2023-08-26 12:27:00,512',-67,88,23
'2023-08-26 12:27:00,606',-67,88,23
'2023-08-26 12:27:00,700',-67,88,23
'2023-08-26 12:27:00,793',-67,88,23
'2023-08-26 12:27:00,887',-67,88,23
'2023-08-26 12:27:00,981',-67,88,23
'2023-08-26 12:27:01,075',-67,88,23
'2023-08-26 12:27:01,168',-67,88,23
'2023-08-26 12:27:01,261',-67,88,23
'2023-08-26 12:27:01,356',-67,88,23
'2023-08-26 12:27:01,449',-67,88,23
'2023-08-26 12:27:01,543',-68,88,23
'2023-08-26 12:27:01,637',-67,88,23
'2023-08-26 12:27:01,730',-67,88,23
'2023-08-26 12:27:01,824',-67,88,23
'2023-08-26 12:27:01,918',-67,88,23
'2023-08-26 12:27:02,012',-67,88,23
'2023-08-26 12:27:02,105',-67,88,23
'2023-08-26 12:27:02,199',-67,88,23
'2023-08-26 12:27:02,293',-67,88,23
'2023-08-26 12:27:02,388',-67,88,23
'2023-08-26 12:27:02,481',-67,88,23
'2023-08-26 12:27:02,574',-68,88,23
'2023-08-26 12:27:02,668',-67,88,23
'2023-08-26 12:27:02,762',-67,88,23
'2023-08-26 12:27:02,882',-67,88,23
'2023-08-26 12:27:02,949',-67,88,23
'2023-08-26 12:27:03,043',-67,88,23
'2023-08-26 12:27:03,137',-67,88,23
'2023-08-26 12:27:03,231',-67,88,23
'2023-08-26 12:27:03,325',-67,88,23
'2023-08-26 12:27:03,418',-68,88,23
'2023-08-26 12:27:03,512',-67,88,23
'2023-08-26 12:27:03,606',-67,88,23
'2023-08-26 12:27:03,700',-67,88,23
'2023-08-26 12:27:03,794',-68,88,23
'2023-08-26 12:27:03,887',-67,88,23
'2023-08-26 12:27:03,980',-67,88,23
'2023-08-26 12:27:04,075',-67,88,23
'2023-08-26 12:27:04,168',-67,88,23
'2023-08-26 12:27:04,262',-67,88,23
'2023-08-26 12:27:04,355',-67,88,23
'2023-08-26 12:27:04,449',-67,88,23
'2023-08-26 12:27:04,543',-67,88,23
'2023-08-26 12:27:04,637',-68,88,23
'2023-08-26 12:27:04,731',-68,88,23
'2023-08-26 12:27:04,824',-68,88,23
'2023-08-26 12:27:04,918',-67,88,23
'2023-08-26 12:27:05,012',-67,88,23
'2023-08-26 12:27:05,106',-67,88,23
'2023-08-26 12:27:05,200',-67,88,23
'2023-08-26 12:27:05,293',-67,88,23
'2023-08-26 12:27:05,387',-68,88,23
'2023-08-26 12:27:05,481',-67,88,23
'2023-08-26 12:27:05,575',-67,88,23
'2023-08-26 12:27:05,668',-67,88,23
'2023-08-26 12:27:05,761',-67,88,23
'2023-08-26 12:27:05,856',-67,88,23
'2023-08-26 12:27:05,949',-67,88,23
'2023-08-26 12:27:06,043',-67,88,23
'2023-08-26 12:27:06,137',-67,88,23
'2023-08-26 12:27:06,230',-68,88,23
'2023-08-26 12:27:06,324',-67,88,23
'2023-08-26 12:27:06,418',-67,88,23
'2023-08-26 12:27:06,513',-67,88,23
'2023-08-26 12:27:06,606',-67,88,23
'2023-08-26 12:27:06,699',-68,88,23
'2023-08-26 12:27:06,793',-67,88,23
'2023-08-26 12:27:06,887',-67,88,23
'2023-08-26 12:27:06,981',-68,88,23
'2023-08-26 12:27:07,074',-67,88,23
'2023-08-26 12:27:07,168',-67,88,23
'2023-08-26 12:27:07,262',-68,88,23
'2023-08-26 12:27:07,356',-68,88,23
'2023-08-26 12:27:07,450',-67,88,23
'2023-08-26 12:27:07,543',-67,88,23
'2023-08-26 12:27:07,638',-67,88,23
'2023-08-26 12:27:08,867',-67,88,23
'2023-08-26 12:27:19,379',-80,107,23
'2023-08-26 12:27:19,469',-79,107,23
'2023-08-26 12:27:19,563',-79,107,23
'2023-08-26 12:27:19,657',-80,107,23
'2023-08-26 12:27:19,751',-80,107,23
'2023-08-26 12:27:19,843',-79,107,23
'2023-08-26 12:27:19,937',-80,107,23
'2023-08-26 12:27:20,031',-79,107,23
'2023-08-26 12:27:20,126',-79,107,23
'2023-08-26 12:27:20,218',-80,107,23
'2023-08-26 12:27:20,312',-80,107,23
'2023-08-26 12:27:20,407',-80,107,23
'2023-08-26 12:27:20,501',-80,107,23
'2023-08-26 12:27:20,594',-80,107,23
'2023-08-26 12:27:20,688',-79,107,23
'2023-08-26 12:27:20,781',-79,107,23
'2023-08-26 12:27:20,875',-79,107,23
'2023-08-26 12:27:20,969',-79,107,23
'2023-08-26 12:27:21,063',-80,107,23
'2023-08-26 12:27:21,157',-80,107,23
'2023-08-26 12:27:21,250',-80,107,23
'2023-08-26 12:27:21,344',-80,107,23
'2023-08-26 12:27:21,438',-80,107,23
'2023-08-26 12:27:21,532',-80,107,23
'2023-08-26 12:27:21,626',-80,107,23
'2023-08-26 12:27:21,719',-79,107,23
'2023-08-26 12:27:21,813',-80,107,23
'2023-08-26 12:27:21,907',-80,107,23
'2023-08-26 12:27:22,001',-80,107,23
'2023-08-26 12:27:22,094',-79,107,23
'2023-08-26 12:27:22,188',-80,107,23
'2023-08-26 12:27:22,282',-79,107,23
'2023-08-26 12:27:22,376',-80,107,23
'2023-08-26 12:27:22,470',-80,107,23
'2023-08-26 12:27:22,562',-79,107,23
'2023-08-26 12:27:22,657',-80,107,23
'2023-08-26 12:27:22,751',-80,107,23
'2023-08-26 12:27:22,845',-79,107,23
'2023-08-26 12:27:22,938',-80,107,23
'2023-08-26 12:27:23,032',-80,107,23
'2023-08-26 12:27:23,125',-80,107,23
'2023-08-26 12:27:23,219',-80,107,23
'2023-08-26 12:27:23,314',-80,107,23
'2023-08-26 12:27:23,407',-79,107,23
'2023-08-26 12:27:23,500',-80,107,23
'2023-08-26 12:27:23,594',-80,107,23
'2023-08-26 12:27:23,688',-79,107,23
'2023-08-26 12:27:23,782',-80,107,23
'2023-08-26 12:27:23,876',-80,107,23
'2023-08-26 12:27:23,969',-79,107,23
'2023-08-26 12:27:24,063',-80,107,23
'2023-08-26 12:27:24,157',-79,107,23
'2023-08-26 12:27:24,251',-80,107,23
'2023-08-26 12:27:24,344',-80,107,23
'2023-08-26 12:27:24,438',-80,107,23
'2023-08-26 12:27:24,532',-79,107,23
'2023-08-26 12:27:24,626',-80,107,23
'2023-08-26 12:27:24,720',-79,107,23
'2023-08-26 12:27:24,813',-80,107,23
'2023-08-26 12:27:24,907',-79,107,23
'2023-08-26 12:27:25,000',-80,107,23
'2023-08-26 12:27:25,094',-79,107,23
'2023-08-26 12:27:25,188',-79,107,23
'2023-08-26 12:27:25,281',-80,107,23
'2023-08-26 12:27:25,375',-79,107,23
'2023-08-26 12:27:25,469',-79,107,23
'2023-08-26 12:27:25,563',-80,107,23
'2023-08-26 12:27:25,657',-79,107,23
'2023-08-26 12:27:25,750',-80,107,23
'2023-08-26 12:27:25,844',-79,107,23
'2023-08-26 12:27:25,938',-79,107,23
'2023-08-26 12:27:26,032',-79,107,23
'2023-08-26 12:27:26,126',-79,107,23
'2023-08-26 12:27:26,219',-79,107,23
