timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17,057',-93,75,32
'2023-08-26 12:23:17,059',-96,97,14
'2023-08-26 12:23:17,151',-97,97,14
'2023-08-26 12:23:17,151',-93,75,32
'2023-08-26 12:23:17,244',-93,75,32
'2023-08-26 12:23:17,245',-96,97,14
'2023-08-26 12:23:17,338',-93,75,32
'2023-08-26 12:23:17,339',-96,97,14
'2023-08-26 12:23:17,431',-96,97,14
'2023-08-26 12:23:17,432',-93,75,32
'2023-08-26 12:23:17,526',-96,97,14
'2023-08-26 12:23:17,526',-93,75,32
'2023-08-26 12:23:17,620',-96,97,14
'2023-08-26 12:23:17,620',-93,75,32
'2023-08-26 12:23:17,713',-93,75,32
'2023-08-26 12:23:17,714',-96,97,14
'2023-08-26 12:23:17,807',-96,97,14
'2023-08-26 12:23:17,807',-92,75,32
'2023-08-26 12:23:17,901',-96,97,14
'2023-08-26 12:23:17,901',-92,75,32
'2023-08-26 12:23:17,995',-97,97,14
'2023-08-26 12:23:17,995',-92,75,32
'2023-08-26 12:23:18,089',-97,97,14
'2023-08-26 12:23:18,089',-93,75,32
'2023-08-26 12:23:18,182',-93,75,32
'2023-08-26 12:23:18,183',-96,97,14
'2023-08-26 12:23:18,275',-96,97,14
'2023-08-26 12:23:18,276',-93,75,32
'2023-08-26 12:23:18,370',-97,97,14
'2023-08-26 12:23:18,370',-93,75,32
'2023-08-26 12:23:18,464',-96,97,14
'2023-08-26 12:23:18,464',-93,75,32
'2023-08-26 12:23:18,557',-92,75,32
'2023-08-26 12:23:18,558',-96,97,14
'2023-08-26 12:23:18,651',-93,75,32
'2023-08-26 12:23:18,745',-96,97,14
'2023-08-26 12:23:18,745',-93,75,32
'2023-08-26 12:23:18,839',-93,75,32
'2023-08-26 12:23:18,934',-96,97,14
'2023-08-26 12:23:18,935',-93,75,32
'2023-08-26 12:23:19,026',-93,75,32
'2023-08-26 12:23:19,026',-96,97,14
'2023-08-26 12:23:19,120',-93,75,32
'2023-08-26 12:23:19,120',-96,97,14
'2023-08-26 12:23:19,213',-96,97,14
'2023-08-26 12:23:19,214',-93,75,32
'2023-08-26 12:23:19,307',-96,97,14
'2023-08-26 12:23:19,308',-93,75,32
'2023-08-26 12:23:19,401',-96,97,14
'2023-08-26 12:23:19,402',-93,75,32
'2023-08-26 12:23:19,494',-93,75,32
'2023-08-26 12:23:19,495',-96,97,14
'2023-08-26 12:23:19,589',-93,75,32
'2023-08-26 12:23:19,589',-96,97,14
'2023-08-26 12:23:19,682',-97,97,14
'2023-08-26 12:23:19,682',-92,75,32
'2023-08-26 12:23:19,775',-97,97,14
'2023-08-26 12:23:19,776',-93,75,32
